stage,axial,blastomeres,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,0,22.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,4.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.31,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.33,5.45,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,1.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51.67,0,0,12.52,4.5,1.23,0,0,0,0,0,0,6.13,0,0,6.98,0,0
 24-34,0,0,0,0,0.81,0,4.75,0,0,0.89,1.64,0,0,0,1.3,0,0,0,0,393,0,0,67.64,29,0,0,0,0,0,0,0,26.98,0,0,38.08,0,0
 36-46,0,0,0,0.68,1.75,0,15.01,0,0,0,0,0,0.84,0,0,0,0,0,0,570.54,0,0,156.54,49.95,0,0.76,0,0,0,9.86,0,9.92,0,0,14.34,0,0
 48-58,0,0,0,0,0,0,171.8,0,0,0,3.94,0,0,0,0.83,0.42,0,4.09,0,944.95,0.82,2.92,128.81,91.68,0,0,4.27,0,0,0,0,20.94,0,0.44,9.62,0,0
 60-70,0,0,0,4.53,0,0,1445.12,0,0,0,43.52,0.72,0,0,0,6.8,0.63,0,3.72,1426.52,0,0.93,51.27,155.33,0,0,1.46,0,10.19,2.2,1.88,17.75,0,6.35,9.6,2.14,10.26
 72-82,0,0,0.93,14.87,6.3,0,2659.39,0,0,4.13,142.82,2.43,6.58,2.75,0.83,0.86,0,5.32,28.52,1944.73,0,15.44,100.12,263.53,1.01,0,0,0,20.7,0.61,2.8,49.83,3.17,24.54,49.87,14.74,0
 84-94,0,0,0.56,14.51,0,0,1731.45,0,0.75,7.28,162.15,0,2.79,0,0,11.25,0,0,55.38,1701.73,1.6,9.74,44.38,199.88,0,0,3.37,0,25.33,0.66,0,64.25,0,11.63,32.69,13.18,0
 96-106,0,0,2.54,50.19,5.16,1.23,2056.38,0.87,9.71,14.31,347.53,0,29.05,0.64,0,13.76,0.92,1.84,36.59,1891.99,0,32.42,42.57,320.57,0,2.36,2.02,1.2,29.49,2.44,4.11,129.41,0,7.18,56.68,49.17,2.75
108-118,0,0,2.8,48.09,4.66,0,1343.2,0,0,5.4,363.4,0.49,9.47,2.26,0.45,32.47,0,0.6,54.09,1746.5,1.75,41.31,38.15,276.95,0,0,2.92,0,60.18,2.26,3.66,99.05,0,14.87,49.59,39.61,0
120,0,0,0,22.18,0,0,673.45,0,1.11,10.09,517.58,1.09,10.58,3.53,1.07,23.89,0,0,20,1775.89,0,42.37,81.68,392.17,0,0,0,0,16.38,1.3,0,52.19,6.51,5.4,22.95,117.76,0
