stage,axial,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,38.39,829.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.79,0,0,0,0,0,0,0,0,0
  5-6,29.83,718.78,0,0,0,0,0,0,0,0,0,26.49,0,0,0,0,0,0,0,0,0,0,0,17.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,14.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.65,4.71,0,0,6.79,0,3.78,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.74,0,0,0,20.1,0,0,5.33,0,0,0,0,0,0,0,0
 14-21,0,0,0,13.72,0.83,27.89,0,1.75,0,1.76,0.81,0,0,2.44,2.08,0,0,6.96,7.05,5.09,0,0,0.81,23.48,5.51,0,0,0.86,0,8.74,0,0,3.9,5.99,0,0,6.6,0,18.33
 24-34,0,0,0,6.14,0,81.56,0,1.77,0,0,0.66,0,0,17.96,7.13,3,0,17.64,57.95,4.56,0,0,0.87,34.31,3.59,0.69,0.62,0,0,8.71,0,1.3,0.8,5.81,0,0,32.87,0,32.98
 36-46,0,0,0,7.41,0,56.54,0,2.92,0,1.23,0,0,1.56,17.66,0.56,9.33,1,0,39.8,1.04,0,0,0,13.7,12.38,1.55,0,0,0,8.11,2.45,3.42,0,1.72,0,0,17.16,0,77.83
 48-58,0,0,0,5.44,3.59,45.02,0.77,0.86,0.42,1.41,0,0,1.49,16.42,0,6.63,0.48,0,49.25,10.75,0,0,0.54,20.73,1.02,2.63,1.81,0,0,10.88,0,0,0,0.58,0,0,11.91,0,68.31
 60-70,0,0,0.7,4.64,4.71,50.23,0,8.2,2.3,10.13,3.52,0,0,27.87,0,23.88,3.33,0.74,15.25,12.13,0,0,5.6,1.83,0.71,0.96,0,0,0.97,15.52,0,8.35,0,0.66,0,0,17.58,0,60.5
 72-82,0,0,1.14,1.21,3.83,37.24,0,0,4.86,10.48,3.86,0,0.89,13.7,0,26.53,4.52,14.18,10.31,52.03,0,1.15,3.2,17.51,0,0,0,0,1.7,14.62,0,1.57,0,0,0,1.44,19.72,0,57.9
 84-94,0,0,1.29,7.79,0,80.18,0,0,2.67,11.32,6.83,0,0,22.18,1.53,20.9,0,0.81,48.54,43.55,0,0.93,3.93,11.35,0,4.82,2.76,0,0,38.69,0,5.53,0,0,2.89,1.7,20.09,0,37
 96-106,0,0,0,18.48,7.76,45.59,0,1.18,3.66,15.55,8.02,0,1.75,31.78,4.69,39.56,1.98,0.7,24.3,50.26,3.69,4.02,6.15,14.78,0.7,15.74,1.79,0,0,60.85,0,6.75,0,7.42,1.01,0,56.4,0,39.58
108-118,0,0,1.39,20.28,0,56.34,0,2.63,5.19,9.67,8.33,0,0,28.86,5.16,50.62,0.76,1.74,17.03,54.64,0,2.86,8.07,8.66,1.35,7.51,0.6,0,0,35.63,0,2.47,0,0.58,0,1.42,48.42,0.84,43.97
120,0,0,0,6.02,0,4.15,0,0,0,10.32,17.05,5.2,2,40.82,0,13.87,3.96,0,8.85,75.44,0,2.08,15.21,10.79,2.12,9.71,0,0,15.95,51.26,0,1.21,0,0,0,0,57.81,0,4.45
