stage,blastomeres,endocrine.pancreas,endoderm,epidermis,eye,fin.epithelia,glial,gut,hatching.gland,immune,iridophores,lateral.line,mesenchyme,mural.cell,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pronephros,spinal.cord
  3-4,175.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,206.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.65,0,0,0,8.95,0,0,0
 10-12,0,0,7.22,0,0,0,0,0,0,0,0,0,0,0,17.61,0,0,0,21.12,0,0,0
 14-21,0,1.07,0,0,0,0,1.72,0,0,0,0,0,0,0,8.34,0.89,0.89,0,0,0,0,10.86
 24-34,0,0,0,0,1.35,0,0,0,0,0,0,0,0,0,42.58,0,2.93,0,0,0,0,15.4
 36-46,0,0,0,0,5.36,1.39,2.82,0,0,0,0,0.57,1.43,0,114.95,0,1.39,0,0,0,0,24.53
 48-58,0,0,0,0.39,4.99,1.52,8.03,0,0,0,0,0.42,9.1,0,144.08,0,0,8.42,0,0,0,20.29
 60-70,0,0,0,0,14.03,0,0,0,0,0,0,1.26,5.6,0,211.16,0,0,0,0,0.57,0,15.34
 72-82,0,1.5,0,0,63.76,0,3.49,0.64,0,2.57,0,3.61,5.75,0,264.67,0,0,0,0,1.56,0.49,12.6
 84-94,0,1.19,0,0.57,32.84,0,1.97,1.68,1.22,0,0.55,5.34,1.88,0,130.19,0,0,0.66,0,2.25,0,6
 96-106,0,0.88,0,1.22,105.86,0,8.69,1.02,0,0,0,10.39,5.57,2.17,209.98,0,0.84,1.22,0,5.4,0,0
108-118,0,0,0,0.81,91.6,0,2.77,1.92,0,0,5.15,4.19,3.7,0,171.89,0.69,0,2.3,0,0,0,2.83
120,0,1.22,0,16.16,66.9,0,17.75,0,0,0,0,1.88,0,0,273.48,0,0,0,0,3.44,0,0
