stage,axial,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.56,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,10.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.14,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,2.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45.19,0,0,0,0,0,0,0,9.7,0,0,0,0,0
 24-34,0,2.77,0,2.27,0.62,13.03,0,9.47,0,34.2,0,0,0,0,0,0.82,0,6.15,0,0,0,0.87,554.52,0,0.65,0,0,0,0,0,66.98,0,0,0,0,0
 36-46,0,0,0,1.11,0,7.41,0,2.77,0,28.93,0,0,0,0,0,0,0,0,5.08,0,0,2.47,1350.65,0.56,0.6,12.71,0,0,0,0,91.31,0,0,0,0,0
 48-58,0,0,0,8.91,0,72.22,0,1.4,0,52.45,0,0,6.17,0,6.95,1.35,0,1.09,13.94,0,0.45,3.21,2301.48,1.36,1.07,1.24,0,0.61,2.08,0,127.2,0,0.79,2.15,0,0.51
 60-70,0,2.09,0,4.99,0,210.8,0,1.66,0,103.3,1.06,0,1.98,0,0,0,0,0,15.79,0,8.93,1.6,3359.23,0,0,2.47,0,2.31,10.72,0,297.03,0,0,0.57,2.11,0
 72-82,0,0,0,9.19,7.36,330.52,0,0,0,93.97,0.82,0,1.79,0,0,0,0,4.12,34.94,1.23,0,0.96,3614.86,0,1.18,6.78,0,6.62,11.89,0,304.56,0.91,0,3.52,2.85,34.57
 84-94,0,3.6,0,16.23,0,302.03,0,0,0.96,113.02,0,1.82,1.19,0.69,0.64,0,0.83,0,35.92,0,5.02,0.91,3077.41,0,1.84,11.12,0,32.1,3.34,0,268.52,3.74,2.14,2.51,0.75,2.28
 96-106,0,1.08,0,26.99,8.89,233.92,3.38,0,0.64,143.33,0.58,0.75,0,1.23,0,0,0,0,29.23,0,6.09,0,2281.89,0,1.03,16.85,0,20.49,5.28,3.82,102.95,0,0,6.37,0.68,0
108-118,0,2.47,0,21.96,1.34,252.46,0,0,2.57,171.31,0,0,0,0.86,0,0,2.66,0.66,19.47,0,0,2.96,3383.56,0,0,10.43,0,7.43,0,0,72.54,2.48,0,2.8,2.08,0
120,3.43,7.93,0,18.55,0,189.46,0,0,19.12,213.42,0,0,1.14,0,0,2.07,1.14,0,12.04,0,12.5,0,4043.65,0,2,8.05,0,17.82,0,0,107.87,0,0,0,0,0
