stage,epidermis,erythrocytes,eye,glial,heart,ionocyte,iridophores,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,paraxial.mesoderm,pericytes,pronephros,spinal.cord,visceral.smooth.muscle
  7-9,0,0,0,0,0,0,0,0,0,0,0,5.98,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,7.65,0,0,0,0
 14-21,0,0,3.66,0,0,0,0,3.2,0,0,2.31,1.75,0,0,0,0,1.68,0
 24-34,0,0,14.63,0,1.33,0.72,0,7.32,0,1.47,9.22,0,0,0,0,0,0,0
 36-46,3.87,0,15.95,0,1.64,0,0,7,0,0,6.18,0,1.14,0,0,0.62,1.12,0
 48-58,0,0,14.81,0.75,0.63,0.46,0,17.81,0.48,0.48,1.5,0,0.47,0,0.59,0,0,0
 60-70,0,0,19.67,10.41,0,0,0,7.27,0,2.43,1.53,0,2.01,0,2.33,0,1.72,0
 72-82,0,0,7.08,9.28,0,0,0,9.88,1.85,0,2.58,0,0.93,0,0,0,0,0
 84-94,0,0,8.84,6.73,1.22,1.33,0.7,16.61,4.18,0,2.24,0,0,0,0,0,0,4.58
 96-106,0.99,9.23,3.11,13.43,0,2.69,2.01,7.5,0.84,0,1.7,0,3.36,0,0,0,0,0
108-118,0,0,0.65,14.4,0,0,1.34,9.16,0.69,0,5.36,0,3.06,0,1.65,0,0,0
120,0,16.96,7.3,57.09,0,0,0,8.8,0,0,3.87,0,0,0,0,0,0,0
