stage,blastomeres,epidermis,erythrocytes,eye,fin.mesenchyme,glial,immune,lateral.line,liver,mesenchyme,mucous,muscle,neural,olfactory,otic,periderm,pronephros,slow.muscle,spinal.cord,vasculature
  3-4,9.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,8.43,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0.86,0,0,2.42,2.08,0,5.96,0
 24-34,0,0,0,0,0,1.84,0,0,0,0,0,0,0.85,0,0,5.35,0.6,0,9.63,0
 36-46,0,0,0,0.59,0,3.82,0,0,0,0.67,1.37,0,1.51,0,0,2.42,1.03,0,2.17,0
 48-58,0,0,0,0.51,1.31,0,0,0,4.78,2.99,0,0,0.43,0,0,0,0,0,1.63,0
 60-70,0,0,0,0,0,1.7,0.79,0,1.63,0,0,1.32,0,0.88,0,0,0.68,0,2.29,0
 72-82,0,0,0,0,0,0,0,0,0,0.97,0,1.57,0,0,0,0,0,0,0,0
 84-94,0,0,6.61,0,0,1.35,0,0.64,0,0,0,0,0,1.26,0,1.46,0,0,0,1.47
 96-106,0,0,0,0,0,0,0,0,0,1.38,0,2,0,5.37,0,0,0.58,0.7,0,0
108-118,0,0,0,0,0,4.86,0,0,0,1.65,0,0,2.82,0,0,0,0,0,0,0
120,0,2.62,0,0,0,0,0,0,0,0,0,0,0,0,2.59,0,0,0,0,0
