stage,blastomeres,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,12.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.52,0,0,0,8.93,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.14,4.1,0,0,7.19,0,0,0,0,0,0,0,0,0,0
 14-21,0,3.64,0,0,0,0,1.49,0.87,0,0,0,1.69,0,0,4.33,0,2.34,0,0,2.88,55.84,0,0,0,0,2.34,3.29,0.91,0,1.11,17.95,0,0,0,0
 24-34,0,2.41,0,2.46,0,0,0.68,0,0,0,0,0,0,0,0,0,6.87,0,0,0.78,56.99,0,1.36,0,0,16.37,0,0,0,0.61,10.05,0,0,0,0
 36-46,0,0.58,0,7.24,0,2.41,1.51,0,0,0,0,0,0,0,0,0.8,12.18,0,0,0,84.09,0,0,0,0,23.05,0,2.21,0,0,25.62,0,0,0,3.36
 48-58,0,4.03,0,23.87,0,0.38,12.43,0,1.18,0,0,0,0,0,0,0,16.25,0,0.47,6.2,126.05,0,0,0.44,0,9.99,0,0,1.4,0,34.3,0,1.46,0,0
 60-70,0,0.77,0,18.6,2.17,1.69,8.5,0,0,0.58,4.01,0,0,1.33,0,0,16.09,0,1.04,2.8,78.9,0,0,1.6,0,11.45,0,0,0,0,12.63,0,2.29,0,0
 72-82,0,2.63,1.43,54.48,0,1.14,10.65,0,0.51,1.46,1.06,0,1.03,1.28,0,0,45.03,3.55,0.72,0.68,151.81,0,0.53,1.1,0,5.53,0,0,0,0,33.33,0,0.49,1.19,0
 84-94,0,2.95,8.5,13.07,0,0.74,3.74,0,0,0,0.7,0,0,0,0,0,15.13,0,2.32,10.51,37.24,0,0,0,0,13.18,0,0,0,0,2.07,1.13,0,0,0
 96-106,0,0,1.64,7.95,0,9.97,14.1,0,0,0,0.74,0,0,0,0,0,20.99,1.5,1.01,5.36,47.88,0,0,4.01,0,16.07,0,0,0,0,4.5,4,2.88,2.26,0
108-118,0,0.46,5.8,4.88,0,0,7.5,0,0,0,0,0,1.1,0,0.56,0.61,16.82,0,0,0,74.17,0,0,0,0,13.59,0,0.49,0,0,1.38,0,0.55,0,0
120,0,3.18,0,1.65,4.46,0,14.51,0,0,0,0,0,0,0,0,0,9.71,0,0,1.86,45.08,5.39,0,0,0,16.49,0,0,0,0,1.98,0,0,0,0
