stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,16.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.39,0,0,0,0,0,0,0
  5-6,0,23.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120.03,0,0,0,0,0,0,0
  7-9,3.58,0,0,4.88,0,0,0,5.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48.17,0,0,0,8.29,0,57.23,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,12.94,0,0,0,0,0,0,0,0,0,0,0,73.34,0,0,0,11.68,0,3.3,0,0,0,0,0,0,0
 14-21,0,0,0,0,5.23,0,0,4.34,0,0,0.91,0,0,0,0,1.23,0,0,0,0,0,0,0,3.1,30.16,2.21,0,0.88,0.82,0,4.51,2.2,0.84,4.24,7.85,0,0,15.36
 24-34,0,0,0,0,0.62,0,0,10.45,0,0,2.78,0,0,0,0,0,0,0,0,7.53,23.57,0,0,7.93,267.18,7.2,7.15,0.61,0,0,10.57,0,0,0.65,41.26,0.68,0,68.79
 36-46,0,0,0,0,3.02,0,0,21.14,1.39,0,11.98,0,0,0,0,0,0,0.65,0,0,51.6,0,0,7.95,354.7,18.81,3.79,0,0,0,2.92,0,2.63,0,84.23,0,0,60.44
 48-58,0,0,0,0,2.92,1.76,0,34.22,0,0.5,36.65,0,0,1.06,0,0,0,0,2.05,0,60.76,0,0,7.89,330.28,4.72,9.69,0.39,0,0,0,0,0,0,144.09,0.4,0,51.74
 60-70,0,0,0,0,1.97,0,0,58.91,0,1.4,42.57,0,0,0,0,0,0,0,0,0,117.4,0,0,11.9,466.82,6.8,5.02,0,0,0,6.16,0,0.63,0,189.43,8.53,0,47.66
 72-82,0,0,0,0,14.82,0,0,92.53,0,2.98,170.92,0,0,0,0.49,0,0,1.04,0,2.05,193.69,0,0,4.47,565.89,14.78,15.65,2.35,0,0,0.58,0,0,0,199.38,2.62,0.92,100.09
 84-94,0,0,0.56,0,5.98,0,0,53.35,0,4.34,141.4,0,0,1.45,0,0,0,0,0,6.29,152.93,0,0,9.96,362.4,10.8,22.06,0,0,0,7.37,0,0,0,91.61,0,0,30.47
 96-106,0,0,0,0,3.48,6.77,0,64.92,0.56,6.58,144.45,1.16,0,1.39,0,0.63,0.66,0,0,6.12,133.34,0,0,3.95,400.29,1.76,20.42,0,0,0,7.5,0,0,0,86.53,2.05,0,21.13
108-118,0,0,0,0,3.09,0,4.95,49.15,1.06,3.41,145.95,0,0,0,0.59,1.6,0,1.23,2.42,6.2,164.13,10.21,4.01,17.06,486.97,6.45,18.62,0,0,3.27,5.54,0,0,0,61.78,0,0,4.99
120,0,0,0,0,3.87,0,0,45.03,0,5.5,115.57,0,0,0,0,0,1.74,0,0,5.95,216.59,1.63,0,6.7,421.97,10.49,12.05,1.5,0,0,4.27,0,3.15,0,24.13,6.98,0,4.96
