stage,blastomeres,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,otic,paraxial.mesoderm,pericytes,periderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,24.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,6.43,0,0,0,0,0,4.61,0,0,0,0,0,0,0,0,0,0,14.71,6.66,0,43.45,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,14.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.24,0,0,13.03,0,0,0,0,0,0,0,0,0,0
 14-21,0,1,1.06,0,0,0,0,1.32,0,0,18.3,0,0,0,0,0,28.97,0,0,4.5,9.18,0,0,0,0,1.67,0.87,1.06,1.33,0,0,0,0,0
 24-34,0,1.23,0.79,0.67,0,1.39,0,0,0,0,0,0,1.68,0,0,0.78,40.88,2.05,0,10.22,11.3,0,0,0,0,0,0,0,6.4,0,0,0.89,0,0
 36-46,0,3.39,0,0.83,3.39,8.51,0,2.33,0,0,0,0,6.56,0,0,0,42.43,0,1.42,3.22,30.77,0,0,0,0,0,0,0,4.74,0,0,0,0,0
 48-58,0,0,0,7.7,0,4.99,3.66,2.6,0,0,0,0,15.69,0,0,0,44.07,0,0,11.92,16.68,0,0,0,0,0,0,0,2.85,0,0.51,0,0,0
 60-70,0,0,1.89,6.31,0,14.04,10.18,2.48,0,0,0.95,0,15.61,0,0,0,70.14,0,1.04,5.2,22.22,0,0,0,0,0,0,0,2.23,0,0,0.73,0,0
 72-82,0,6.28,2.82,10.35,0,6.67,35.68,2.01,0,0.65,0,0,37.16,0.81,0,0,163.89,0,0.72,16.01,12.67,0,0,0,0,0,0,0,0,0,1.9,5.93,0.92,0
 84-94,0,3.01,0.86,17.58,0,14.15,11.47,2.17,3.57,0,1.5,2.12,53.05,1.91,1.74,0,118.16,2.3,0.96,3.5,14.88,0.67,0,0,0,0,0,0,0,0,0,1.45,0.89,0
 96-106,0,4.45,8.52,24.26,0,15.73,15.52,7.45,7.91,0,3.47,0,76.67,0,1.75,0,242.16,2.49,0,18.34,13.78,0,2.09,0,0,0,0,0,0,4.14,9.2,1.61,0,0
108-118,0,6.35,6.39,22.44,12.81,7.1,21.26,4.88,7.73,0,5.08,0.44,149.88,0,0,0.9,227.4,0,0,16.49,34.15,0,2.3,0,6.3,0,0,0,0,10.42,1.46,0,0,2.3
120,0,22.62,2.93,14.54,0,9.71,20.94,13.4,8.33,0,4.26,1.05,153.91,0,0,0,203.5,0,6.62,4.8,37.76,1.33,0,0,0,0,0,0,0,3.87,0,0,0,0
