stage,endocrine.pancreas,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,immune,ionocyte,iridophores,liver,mesenchyme,mucous,neural,notochord,olfactory,otic,periderm,pronephros,spinal.cord,taste,vasculature
 14-21,0,5.77,0,0,0,0,0,0,0,0,0.97,0,0,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,12.52,0,0,0,4.22,0,0,0,0,6.88,0,27.65,0,0,14.67,0,0,0,56.83,19.19,0,0,0
 36-46,0,19.82,0,5.59,0,5.76,0.57,0,0.57,0,3.84,0,5.62,0.63,0,11.52,0,0,0,301.34,32.62,1.86,0,0
 48-58,0,10.54,0,4.96,0,1.84,0,1.5,2.35,3.09,2.02,0,26.29,4.96,0,6.12,0,0,0,100.26,22.72,2.45,0,0.82
 60-70,0,21.04,0,3.59,0,2.81,0,0,4.64,0,0,0,30.73,4.93,0.74,16.58,0,0,0,109.88,28.61,1.39,0,0
 72-82,1.64,5.81,0,7.22,0,0.91,0,0.84,5.48,0,0,1.65,11.78,0,0,21.26,0,2.22,0.56,69.9,54.93,0,0,0
 84-94,0,8.91,0,0.89,0,3.3,0,3.3,11.39,1.03,1.69,0,5.59,0,7.41,4.88,0,0,0,370.05,155.93,0,0,0
 96-106,0,10.64,11.12,1.44,0.57,4.72,0,2.22,5.06,1.94,0.74,0,9.69,9.54,0.71,15.39,0,0,0,125.17,104.78,0,0,6.68
108-118,0,9.35,0,5.43,0,0.8,1.47,5,14.18,0.48,0,0,10.55,2.24,1.25,13.14,0.56,0,0,93.55,123.34,0,0.54,0
120,0,3.03,0,13.55,0,0,0,0,16.19,0,0,0,4.81,0,2.91,26.2,0,0,0,27.84,77.55,0,0,0
