stage,epidermis,erythrocytes,eye,glial,mesenchyme,neural,paraxial.mesoderm,periderm,pronephros,somites,spinal.cord
 10-12,0,0,0,0,0,8.74,6.31,0,0,0,0
 14-21,1.6,0,0.81,0,0,2.14,0,0,0,1.2,0
 24-34,0,0,0.65,0,0,1.28,0,1.96,2.67,0.68,0.65
 36-46,0,0,0.77,0,0.92,3.07,0,0,0,0,1.67
 48-58,0,0,1.22,0,0.44,4.75,0,0.56,0,0,3.04
 60-70,0,0,3.04,0.84,0,2.8,0,0,0,0,1.04
 72-82,0,0,2.16,0.56,0,2.44,0,0,0,0,0
 84-94,0,0,1.06,0,0,0,0,0,0,0,0
 96-106,0.71,3.13,0,5.16,0,1.48,0,0.6,0,0,0
108-118,0,0,0,1.74,0,0,0,0,0,0,0
