stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,103.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,43.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,6.46,0,0,24.73,0,0,0,0,0,0,0,0,0,56.74,0,0,0,0,0,0,0,0,0,18.79,12.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,4.89,0,0,19.39,0,0,0,3.91,0,0,0,0,0,30.64,0,0,0,0,0,0,0,0,0,40.42,5.03,0,0,4.22,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0.94,0,11.08,0,0,0,0,0,0,0,0,4.35,0,0,0,0,0,0,0,1.65,0,1.94,0,0,0,0,0,1.89,38.75,7.27,1.07,0,0,0,0,0
 24-34,0,0,0,0,1.65,49.38,0,4.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.18,15.7,97.4,1.48,0,0,0,1.75,0,160.43,0,1.11,0,0,0.61,0,1.52
 36-46,0,0,0,0,0.59,18.97,0,3.41,0.88,0,0,0,0,0,0,0,0,0,0,4.3,0,4.33,0.72,18.54,101.25,0,0,0,0,0,0,137.88,0,3.68,0,0,0,0,0
 48-58,1.54,0,0,0,1.49,84.5,0,8.52,0,0,0,0.45,1.58,0,0.44,0,2.61,2.19,0,14.66,0,0,0,45.89,51.73,0.79,0,0,0,2.11,0,188.12,0,3.16,0,0,0,0,3.23
 60-70,0,0,0,0,2.34,51.25,0,8.76,0,0,0,5.57,6.71,0,0,0,30.05,0,0,59.23,0,0,2.17,20.74,53.27,0,0,0,0,0,0,235.19,0,1.39,0,14.85,0,0,0
 72-82,0,0,1.83,0,5.08,504.58,0,26.09,9.11,1.95,0,2.98,20.83,0,0,0,46.55,1.45,0,40.48,0,0,1.51,42.56,23.17,4.5,0,0,2.37,1.09,0,478.3,0,5.54,0,7.1,1.09,3.63,0
 84-94,0,0,0,0,5.65,497.94,0,50.91,0,0,1.47,4.03,29.83,0,0,1.33,76.41,8.12,0,75.09,0,0,1.11,24.43,13.84,0,2.26,0,10.31,2.61,0,880.34,0,1.62,1.05,5.79,0,5.5,12.19
 96-106,0,0,1.99,0,28.99,688.12,0.67,103.41,0.57,4.27,0,21.22,47.11,0,1.46,5.22,61.51,4.03,4,99.56,3.47,4.75,6.74,84.62,23.46,0,2.44,0,24.11,11.42,0,1498.95,0,2.94,0.56,1.2,1.73,4.09,8.67
108-118,0,0,0,0,24.1,303.16,0,77.92,0,8.17,0.59,7.98,27.55,0,0,0,164.06,36.17,1.59,146.46,0.44,7.08,0.42,80.22,45.98,0,0,0,51.22,10.28,0,1627.09,0,4.05,0,4.23,6.47,2.76,3.39
120,8.47,0,0,0,1.22,352.95,0,88.67,0,0,16.69,10.28,54.31,0,0,21.47,27.62,1.58,0,118.43,0,0,0,106.41,108.4,0,0,0,56.42,1.31,0,998.7,0,7.61,0,0,0,0,0
