stage,blastomeres,epidermis,erythrocytes,eye,fin.epithelia,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,muscle,neural,olfactory,paraxial.mesoderm,periderm,slow.muscle,spinal.cord,taste,vasculature
  3-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.7,0,0,0,0
  5-6,8.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,151.88,0,0,0,0
  7-9,7.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60.59,0,27.04,93.94,0,0,0,0
 10-12,0,0,0,0,0,0,0,9.53,0,0,0,0,0,0,0,0,0,0,39.42,0,5.84,17.82,0,0,0,0
 14-21,0,0,0,0.85,0,1.08,0,0,0,0,0.97,0,0,0,0,0,0,0,4.2,0,0,252.92,0,0,0,0
 24-34,0,1.48,0,1.03,0,0.92,0,0,0,0,0,0,0,0,0,1.74,0,0.61,21.24,0.74,0,268.86,0,4.45,0,0
 36-46,0,6.44,0,0.88,0,0,0,0,0,0,0,0.94,0,0,0,0,0,1.79,31.73,0,0,217.19,1.14,4.67,0,0
 48-58,0,2.64,0,2.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.24,0,0,112.02,0,3.07,0,0
 60-70,0,0.91,0,1.8,3.2,1.44,6.7,0,0,0,0,0,0,0,0,0,0,0,6.15,0,0,83.09,0,9.21,0,0
 72-82,0,7.66,0,8.86,0,1.43,0.58,0,0,0,0.56,0,0.97,0,0,0.7,4.5,0,6.56,0,0,62.18,0,0,0,0
 84-94,0,10.26,0,0,1.7,8.01,0,0,0,0,1.81,0,0,0,0,0,1.51,0,1.01,0,0,192.95,0,0,1.89,0
 96-106,0,10.39,7.92,7.22,8.77,0,0,0,0,0,0.62,0,0,0,0,7.01,2.02,0,16.57,0,0,222.31,0,0,0,0.97
108-118,0,28.74,0,8.27,11.94,0,1.32,0,1.28,0.68,5.08,0.43,0,5.21,1.71,6.31,0.48,0,6.2,0.63,0,234.66,0,0,6.31,0
120,0,20.6,0,0,6.37,0,0,0,0,0,0,0,0,0,0,18.7,1.47,1.86,1.23,0,0,90.8,0,0,0,0
