stage,axial,blastomeres,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pronephros,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,12.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.49,6.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,4.3,0,0,0,0,5.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.32,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,7.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.77,0,0,0,8.68,0,0,0,0,0,0,0,0
 14-21,0,0,0,2.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.21,0,0,0.81,0,0,0.86,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.63,0,0,2.3,0,0,1.41,31.29,0,1.55,0,0,0,0,0.71,15,0,0,0,0
 36-46,0,0,0,0,0,0,3.66,0,0,0,2.04,0,0,0,0,0,0,0,8.22,0,0,0.78,129.25,0,1.19,0,0,0,0,0,14.01,0,0,0,0.81
 48-58,0,0,0,1.06,0,0,17.78,0,0,0.58,5.06,0,0.57,0,0,0,0.4,0,13.56,0,0,0.76,164.13,0,0.37,0,0,0.96,0,0,25.33,0,0.58,0,0
 60-70,0,0,0,1.15,0,0,195.56,0,0,0,14.67,0,0,0,0,0,0,0,41.49,0,0,0,205.83,0,0,0,0,2.41,0,0,66.45,0,2.47,0,0
 72-82,0,0,0.83,2.18,0,0,466.2,0,0,0,34.46,0,0,5.61,0,1.42,0,0,52.87,0,1.09,0.94,202.21,0,1.26,0,0,0,0.64,0,39.36,0,2.22,0,0
 84-94,0,0,0,0,0.86,0,406.14,0,0,0,25.78,0,0,0,1.52,0,0,0,58.09,2.16,0,0.75,175.8,0.57,0.9,2.01,0,0,0,0,42.41,2.09,1.81,0,0
 96-106,0,0,0.81,1.56,0,0,594.17,0,0,0.75,35.96,2.33,0,0,0,0,0,3.85,61.38,1.17,0,0,183.92,0,0.93,0.76,0,0,0,0,16.54,0,2.27,1.02,0
108-118,0,0,0,10.34,0,1.45,557.82,0,0.73,1.83,28.68,0,0,1.35,0.42,0,0,0,70.83,0,0,0.59,199.06,0.54,1.97,2.52,0,1.68,1.48,0,9.44,2.52,0.99,2.12,0
120,0,0,0,14.27,0,0,299.22,1.99,0,0,33.4,0,0,0,0,0,0,0,63.05,0,0,5.49,125.92,0,2,0,0,0,0,0,10.53,0,0,0,0
