stage,erythrocytes,glial,mesenchyme,muscle,neural
 14-21,0.95,0,4.05,0,7.15
 24-34,0,0,8.25,10.31,3.61
 36-46,0,0,1.15,0,0
 48-58,0,0,0.39,0.54,0
 60-70,0,0,0.98,0,1.63
 96-106,0,0,0,0,1.64
120,0,1.81,0,0,2.84
