stage,epidermis,erythrocytes,eye,fin.epithelia,glial,mesenchyme,mural.cell,muscle,neural,paraxial.mesoderm,periderm,spinal.cord,vasculature
 10-12,0,0,0,0,0,0,0,0,0,7.37,0,0,0
 14-21,1.15,0,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,0.6,0,0,0,0,1.31,0,0,0.82,0,0
 36-46,0,0,0,0,1.1,0,0,0,6.44,0,0,0,4.62
 48-58,0,0,0.7,0,0,0.39,0.66,0,5.29,0,0,0,0
 60-70,0,0,0,0,0,0,0,0,2.43,0,0,0.67,0
 72-82,0,0,0,0,0.79,0,0,0,6.95,0,0,0,0
 84-94,0,0,0,0,0,2.61,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,1.46,0,0,0,0,0,0,0
108-118,0,0,0,0,0,0,0,0,1.72,0,0,0,1.85
120,0,6.81,0,1.06,0,0,0,0,5.52,0,0,0,0
