stage,axial,blastomeres,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,33.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.81,0,0,0,0,0,0,0,0,0,0
  5-6,11.63,26.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,5.36,0,0,0,0,4.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.2,0,0,0,4.35,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,6.84,0,0,0,0,0,0,0,0,0,0,0,26.48,0,0,0,27.37,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,1.8,25.81,0,5.1,0,0,0,0.82,0,0,0,199.87,0,0,0,0,0,0.88,0,0,3.56,29.69,1.66,0,2.36,0.81,0,13.7,1.54,5.45,0,3.05,14.81,0,0,0,0,0
 24-34,0,0,0,3.03,8.12,0,2.94,0,0,0,1.45,0.82,0,0,660.49,0.7,0,0,0,0,3.68,0.76,0,0.75,63.53,0,0.65,0,0,0,6.22,0,0,2.18,0.76,16.06,0,0,3.64,0,0
 36-46,0,0,0,2.21,0.67,0,3.4,0,0,0,5.64,0,0,0,1138.8,0,0,0,0,5.6,2.74,0,0,2.11,102.05,1.77,3,1.22,0,0,1.54,0,0,0,0,22.49,0,0,7.58,0,0
 48-58,0,0,0,0,0,0,25.04,0,0,0,2.57,0,0,0.83,1361.76,0,0,0,0,0,5.18,0.39,0.41,0,112.51,0,1.84,0,0,0,1.04,0,0,0,0,14.18,0,0.61,0,0,2.84
 60-70,0,0,0,1.1,0,0,59.13,0,0,3.73,5.64,0,0,0.88,1971.49,0,0,0,0,0,13.93,0,5.32,0.71,103.01,0,1.44,1.16,0,0,13.89,0,0,0,0,7.28,0,0,4.96,0,0
 72-82,0,0,0,0.61,18.12,0,36.2,6.78,0,0,5.76,0,0,1.77,2235.21,0,0,0,0.96,0,12.12,0,0,1.15,74.13,0,0,1.16,0,0,1.59,0,0,6.01,0,8.55,0,0.91,5.57,1.49,2.09
 84-94,0,0,0,2.41,10.39,0,46.27,0,1.68,0,4.71,4.29,0,0,2935.4,0,0,0,0,0,15.72,0,0.81,0,73.32,0,0,0,0,0.6,8.23,0,0,0,0,8.71,0.7,0,3.1,1.17,0
 96-106,0,0,0.63,3.27,26.93,0,56.24,0.93,1.49,0,7.79,9.81,0,0,3489.56,0.67,0,3.89,3.85,0,28.44,1.38,0,4.88,55.07,0,4.13,2.41,0,5.53,13.44,0,0,0,0,14.41,0,0,33.86,0,2.76
108-118,0,0,0,5.63,16.56,0.72,60.83,0,0.5,0.78,11.96,3.76,0,0,2719.31,1.38,0.73,1.43,0,0,20.61,0,2.36,0.43,101.08,0.8,0,0.62,0,1.32,11.73,0,0,0.41,0,8.08,0,0,6.42,1.87,0
120,0,0,0,25.04,24.73,0,28.63,1.51,0,0,37.65,1.55,0,0,4374.6,0,0,4.52,0,0,9.06,0,2.47,0,166.18,3.25,1.54,0,0,0,9.24,0,0,0,0,0,0,0,26.02,0,0
