stage,endocrine_pancreas,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,lateral_line,melanocytes,mesenchyme,mucous,neural,olfactory,paraxial_mesoderm,periderm,pronephros,somites,spinal_cord,taste,vasculature,xanthophores
  5-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.57,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.63,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.12,0,4.22,4.05,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,2.99,0,0,0,0,0,0,0,49.29,0,0.85,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0.69,0,0,0,0.71,20.1,0,0,172.77,0,0,3.39,0,0,0
 36-46,0,0,0,0.71,1.68,0,0,1.48,0,0,0,7.86,0,0,4.33,7.76,34.78,0.6,0,285.44,0,0,7.18,0,0,0
 48-58,0.42,0,0,12.09,0,1.64,0,0.96,0,0,0,0.49,0,0,1.67,0,56.93,0,0,169.33,0,0,6.18,0,5.61,0
 60-70,0,6.02,0,7.6,0,3.38,0,12.16,0,1.21,0,2.62,1.02,0,1.12,0,30.84,0,0,192.31,0,0,0,0,0,0
 72-82,0,9.95,0,12.99,0,0,0.57,1.36,0,0,0,5.47,0,0,1.48,2.25,44.33,0,0,152.79,0,0,0,0,0,0
 84-94,0,3.43,0,2.32,0,0.79,0,0,0,0,0,5.64,0,0.68,3.45,2.76,23.12,0,0,460.87,0,0,0,0,0,0
 96-106,0,10.2,0,15.88,0,0.63,0,4.96,0.69,0,0,11.28,0,0,3,3.62,20.74,0,0,442.04,0,0,0,3.02,0,8.82
108-118,0,24.38,0,6.07,0,4.14,1,0,0.47,0,1.38,18.61,4.02,0,3.4,4.97,5.06,2.48,0,370.12,0,0,3.01,0,0,0
120,0,42.77,5.84,2.65,0,4.79,0,0,0,0,0,13.92,4.65,0,2.2,5.29,44.7,0,0,322.51,1.56,0,0,0,0,0
