stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,lateral.line,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,xanthophores
  3-4,0,71.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,8.5,37.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,7.2,0,0,8.75,0,0,4.13,0,0,0,0,3.89,0,0,0,0,0,0,0,0,68.35,0,0,0,9.74,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,3.2,0,0,14.56,0,0,0,0,6.13,0,0,0,0,0,0,0,0,64.28,0,0,0,39.99,0,0,0,0,0,0,0,0,0
 14-21,0,0,1.32,0,4.01,0,1.84,0,0,0,0.97,0,0,0,1.08,0,1.99,2.24,0,4.45,50.63,0.81,1,0,1.52,0,2.42,1,1.95,19.47,0,0,0,0
 24-34,0,0,0,0,1.76,1.47,6.44,0,0,0,0,0,1,0,0,0,0,2.82,0,0,133.53,0,1.22,0.69,0,5.6,0,0,0.98,32.74,0,0,0.81,0.86
 36-46,0,0,0,0,3.36,0,16.66,0,0,9.36,0,0,0,0,0,0,0,4.94,0,3.28,159.96,0,1.92,1.18,0,2.32,0,0.62,0,36.15,0,0,1.82,0
 48-58,0,0,0,0,1.95,0,24.4,0,0.43,11.59,0,0,0,0,0,0.39,0,8.73,3.05,0,78.26,0,0,0,0,0,0,0,0,18.13,0,0,0.48,0
 60-70,0,0,0,0,0,0,45.53,0,0,6.74,0,0,0,0,0,0,0,15.96,0,3.44,102.04,0,0,0,0,0,0,0,0,35.65,0,0,0,6.22
 72-82,0,0,0,0,0.62,0.8,12.82,0,1.44,2.63,0,0,0,0,0,0,0,9.05,0,1.65,64.93,0,0,0.52,0,0,0,0,0,5.09,0.87,0,0,0.82
 84-94,0,0,0,0,1.31,0,27.74,0.6,0,13.54,0,0,0,0.78,0,0,0,7.07,0.69,0,102.3,0,0,0.89,0,0.65,0,0,0,0,0,0,2.21,0
 96-106,0,0,0,0,2.34,1.5,10.44,0,0,9.68,0.67,0,0,0,0,0,0,6.38,0,0,22.89,0,0,0.63,0,0.65,0,0,0,3.83,0,1.22,2.51,0
108-118,0,0,0,0,0,3.41,31.55,0,1.72,7.5,0,0,0,0,0,0,0,2.02,0.65,0,44.03,0,0,2.05,0,6.14,0,0,0,0,0,0,4.24,0
120,0,0,0,0,0,0,12.93,0,0,20.79,0,0,0,0,0,0,0,5.42,0,0,35.41,0,0,3.1,0,0,0,0,0,0,6.72,0,0,0
