stage,blastomeres,endocrine_pancreas,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,lateral_line,mesenchyme,muscle,neural,notochord,olfactory,periderm,spinal_cord,taste
  3-4,11.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,13.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,7.88,4.28,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,2.44,0,0,0,5.56,0
 24-34,0,0,0,0.98,0,0,0,0,0,0,0,36.69,0,0.63,0,50.96,0
 36-46,0,0,0,0,0,0.93,0,0,0,0,0,65.08,0,0.8,0,63.94,0
 48-58,0,0,0,5.88,0.4,1.72,0,0,0,0,0.42,79.02,0,0.96,0,21.99,0
 60-70,0,0,0,25.83,2.33,1.64,0,0,0,2.94,0,99.42,0,0.99,0,14.27,0
 72-82,0,1.26,0,27.43,5.69,1.47,0,0,0.79,2.61,0,69.13,0,0,0,7.54,0
 84-94,0,0,0.86,15.34,0.55,0.59,0,5.27,0,2.44,0,31.84,0,0,1.8,5.52,0
 96-106,0,0,4.69,21.89,2.7,0,3,0.83,0,2.39,0,66.41,0,0,0,1.53,0
108-118,0,0,0,34.33,0,0,1.73,0,0,4.26,0,28.41,0,0,0.84,5.29,0.42
120,0,0,3.79,10.16,0,0,0,0,0,0,0,159.56,0,0,0,0,0
