stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,0,24.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,17.17,16.87,21.52,0,0,0,52.24,0,0,0,0,0,112.32,0,0,0,0,0,0,0,0,0,0,0,412.32,11.72,0,0,141.79,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,32.8,41,0,6.14,0,36.65,0,0,0,0,0,18.99,0,0,0,0,0,0,0,0,0,0,0,1269.92,45.45,0,0,271.1,0,0,0,99.85,0,0,3.51,0,0,0,0,0
 14-21,0,0,0.88,25.83,4.49,0,8.28,0,0,0,28.89,0,0,0,0,0,0,0,0,1.13,31.3,0,0,64.84,201.16,13.36,0,0,5.03,0,2.28,14.19,3.86,1.88,85.61,231.92,0,0,1.18,0,0
 24-34,0,0,1.7,41.4,1.22,0,16.32,0,10.38,3.39,98.6,0,0,1.36,0,0,1.61,0,0.65,0,124.49,0,1.21,53.39,814.84,3.96,3.5,0,0,0,16.99,0,2.47,0,10.6,556.6,0,0,2.87,0,0
 36-46,0,0,0,8.04,0,0,35.76,1.8,5.35,1.62,155.28,0.72,0,0.79,0,0,0,0,0,6.13,117.79,0,2.17,35.64,1200.64,7.51,0,4.44,0,0.77,15.97,0,1.44,0,0,653.01,0,0,8.09,0,0
 48-58,0,0,0,4.66,0,0,66.08,0,13.36,7.78,120.03,0,0,1.24,0,0,0,0.44,0,0,84.66,0,6.5,19.97,999.8,9.67,0.91,0.67,0,0.56,10.44,0,0,0,0,547.62,0,0.42,0,0,0
 60-70,0,0,0,5.31,0,0,86,0,20.5,7.59,159.25,0,0,0,4.06,0,0,2.05,0,0,160.54,0,5.73,16.16,650.99,0,0.84,4.22,0,2.09,15,0,0,1.38,0,369.81,0,5.91,0,3.53,0
 72-82,0,0,0,7.01,0,0,40.43,0,6.38,17.82,101.97,0,2.07,0.51,0,0,0,0.6,3.19,0,102.32,0,22.47,9.8,459.79,0,1.13,0.61,0,0,4,0,0,0,0,219.48,0.5,2.39,0,10.86,0
 84-94,0,0,0,14.96,4.56,0,72.4,1.55,5.43,27.81,72.71,0,0,0,0,0,0,0,0,0,95.37,0,8.57,9.39,380.33,0,0,0.72,0,6.99,4.27,0,0,0,0,241.89,1.22,6.6,8.7,25.69,2.43
 96-106,0,0,0,3.81,0,0,63.82,1.29,9.9,28.46,99.66,4.38,0,0,0,0,0.57,0,0,0,113.34,2.42,13.03,6.73,329.17,0,7.34,7.04,0,3.05,0,0,0.7,9.08,0,232.05,1.36,4.81,4.64,13.52,0
108-118,0,0,0,10.8,0,0.84,48.82,3.18,25.63,4.74,84.03,2.33,0,0.51,0,0,0,0,0,0.66,113.89,0,6.62,6.65,276.75,0,4.24,2.51,0,4.98,0,0,0,0,0,74.04,1.4,19.13,4.21,14.07,0
120,0,0,0,5.24,1.89,0,96.45,0,10.56,8.21,153.91,0,0,0,0,1.65,0,1.69,8.88,0,88.17,0,54.17,12.62,419.93,0,1.46,0,0,25.96,1.88,0,0,0,0,116.13,5.08,14.75,0,19.61,0
