stage,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.49,0,0,16.2,0,4.33,0,0,0,0,0,0,0,0,0
 14-21,0,96.57,0,0,0,0,0,0,0,0,1.19,3,0,87.25,0,0,0,1.03,5.99,0,4.99,9.85,0,0,0,0,6.43,2.36,25.18,64.62,23.03,1.83,0,0,0,0
 24-34,0.81,132.69,0,0,1.23,3.41,4.14,0.64,3.55,0,0,0.69,0,119.04,1.57,0,0,8.61,7.64,0,16.9,25.04,0,0,0,0,2.44,0,13.15,8.73,10.84,5.14,0,0,1.46,0
 36-46,0,27.8,0,0,1.23,11.33,0,0.78,0.73,0,0,1.65,0,75.65,0,0,0,5.58,6.95,0.8,0,31.15,0,0,0,2.85,6.33,0,9.13,18.18,0.62,0,0,0,0,0
 48-58,0,7.02,0,0,10.82,14.17,0.75,0,5.73,0,0,0.38,1.35,10.22,0,0,0.56,4.89,5.98,0,3.67,12.05,0,0,0,0,1.13,0,1,14.44,0,4.16,0,0.4,0,0
 60-70,0,6.13,0,0,4.62,13.01,0.61,0.85,3.92,0.77,0,0,0,21.41,0,0,0,7.28,7.39,0,0,29.28,0.66,0,0,0,4.87,0,1.8,8.32,0,0.91,0,0,0,0
 72-82,0,7.72,1.94,0,3.74,4.98,1.51,0,4.89,0,0,0,0,24.29,0,3.49,1.8,6.75,16.45,0,5.66,16.59,0,0.79,0,0,3.58,0,1.65,1.65,0,0,0,0,0,1.64
 84-94,0,14.02,2.28,0,1.81,7.79,9.56,0,6.3,0,1.55,0,0,60.47,0,0,0,5.09,13.15,0.58,2.81,13.31,0,0,0,0,11.48,0,7.8,2.78,0,1.33,0,0,0,3.27
 96-106,0,16.43,2.26,0,7.04,11.11,2.8,0,3.22,1.02,0,0,0,59.42,0,0,0,10.1,20.79,0,0.63,20.68,0,0,0,0,18.73,0,10.82,5.38,0,9.52,0,0,3.98,4.58
108-118,0,12.96,1.66,0.43,3.55,12.14,5.5,0,6.96,0.42,0,0,0.65,45.13,0,0.7,0.61,10.82,21.03,0,12.4,22.43,0,0,0,0,17.17,0,9.47,2.19,0,0.47,0.8,0,3.5,10.08
120,0,8.26,0,0,1.06,25.19,4.05,0,0,1.33,0,2.11,0,53.95,0,0,0,0,6.29,15.95,0,11.18,0,0,0,0,11.1,0,9.96,7.71,0,0,0,0,0,4.8
