stage,endocrine.pancreas,epidermis,erythrocytes,eye,fast.muscle,glial,gut,heart,immune,ionocyte,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,periderm,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,0,0,0,0,0,0,0,0,244.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,16.04,0,0,0,0,1321.25,0,0,0,0.97,0,0,1.02,38.65,0,0,2.94,2.47,0,0,0,0
 36-46,0,0,0,8.29,0,0,0,0,1685,0,0,0,3.55,0,0,2.61,44.98,0,0,0,5.9,0,1.01,0,0
 48-58,0,0,0,8.52,0,3.44,0,0,1156.8,0,0.41,0,3.53,0,0,1.26,25.85,0,0,0.87,7.43,0,0,0,3.18
 60-70,0,0.57,0,9.43,0,0,0,0,1598.59,0,0,0.68,4.69,0,0,0,41.09,0,0,0,6.22,0,0,0,0
 72-82,0.62,0,3.83,8.75,0,1.26,0.49,2.65,832.28,0.61,0,0,3.02,0,0,2.13,22.14,0,0,0.59,0,0.91,0,0,0
 84-94,0,1.21,0,16.94,0,3.01,0,0,1058.53,0,0,4.62,12.17,0,0,0,6.96,0,0,3.25,0,0,0,0,5.28
 96-106,1.41,2.99,11.38,18.37,0,22.88,0.63,0,1716.8,3.17,0,2.86,18,0,0.66,2.11,10.78,2.25,16.83,5.77,0,0,7.46,0,0
108-118,0,0,9.89,15.69,1.47,1.79,0,0,1297.13,0,0,0.99,9.63,0.54,0,0.46,16.07,0,0,0,0,0.77,0,0,0
120,0,0,0,7.32,0,6.64,0,0,2260.87,0,0,18.25,0,0,0,0,23.47,0,0,0,15.93,0,0,2.27,0
