stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,fin_mesenchyme,glial,immune,iridophores,liver,mesenchyme,mural_cell,muscle,neural,olfactory,periderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  5-6,14.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,11.77,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0.81,0.86,0,0,0.88,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,15.39,55.12,0,1.77,0,3.96,0,0,0,0
 36-46,0,1.35,0,0,1.45,0,0.63,0,0,0,0,0,0,69.19,62.19,0,3.58,0,5.09,0,0,0,0
 48-58,0,0,0,0,0.51,0,19.37,0,0,0,0.41,0,0,28.96,58.14,0.64,0,0,7.42,0,0,0,0.9
 60-70,0,0,0,0,10.1,2.67,14.32,0,0,0,3.92,0,0,49.08,49.02,0,0,0,14.14,0,0,0,0
 72-82,0,0,0.71,8.65,12.37,0,14.71,0,0.78,0,1.85,0,0,23.82,102.32,0,0,0,4.6,0,0,0.59,9.23
 84-94,0,0,0,0,3.01,0.59,15.32,0,0,0,4.47,0.96,0,22.17,104.35,0,0,0,5.72,1.17,0,1.95,3.11
 96-106,0,0,0,0,6.37,3.21,3.85,0.61,0,0,11.42,0,1.41,8.51,247.17,0,0,0,10.7,0,0,6.86,5.32
108-118,0,0,0,0,2.07,0,0,0,0,0.51,1.93,0,0.48,18.61,156.71,0,0.45,0,2.71,0,0,0.42,8.17
120,0,0,0,0,2.58,0,0,0,19,0,6.9,0,2.41,26.33,212.24,0,0,0,24.89,0,1.56,3.6,0
