stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  5-6,0,7.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,4.89,0,11.16,0,0,11.72,0,0,0,0,0,5.62,0,0,0,0,0,0,0,0,0,0,199.04,0,0,0,43.97,0,0,0,0,0,0,0,0,0
 10-12,0,10.12,6.38,0,0,14.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,335,0,0,0,29.49,0,6.22,0,0,0,0,0,0,0
 14-21,0,0,0,4.43,0,0.98,0,0,0,0,0,0,0,0,0,0,0,0,0,1.21,0,0.93,13.48,1.32,1,1.02,0,0,0,1.05,0,0.8,6.12,0,0,0
 24-34,0,0,0,9.88,0,0.68,0,0,0,1.85,0,0,0,0,0,0,0,0,0,21.64,0,5.95,180.89,0.7,1.85,1.1,0,0,2.27,0,0,0,36.36,0,16.61,0
 36-46,0,0,0,6.62,0,21.91,0.68,0,0,5.43,0,0,1.06,0,2.49,0,0.68,0,0,19.98,4.9,4.22,118.25,0,2.21,8.03,0,0,0.81,0,0.94,0,16.01,0,1.49,0
 48-58,0,0,0,4.86,0,47.09,0,1.47,0.76,23.39,1.15,0,0,0,0,0,0,0,0,25.73,0,6.99,156.72,3.66,0,5.87,4.77,0,0,0,0,0,24.71,0.49,1.82,0
 60-70,0,0,2.79,9,0,27.09,0,0,1.17,50.86,0,0,0,3.99,0,0,0,0,2.31,50.93,2.52,0.6,154.46,1.63,6.7,2.14,0,0,0,0,6.55,0,30.6,0,1.37,0.81
 72-82,0,0,0,2.17,1.53,24.7,0,0,1.36,29.02,1.42,0,0,0,0,0,0.61,0,0,42.75,1.07,2.15,54.01,0,3.11,0,0,0,1.44,0,0,0,10.11,0,10.39,0
 84-94,0,0,0,4.62,0,11.12,0,2.04,0,11.57,0,0,0,0,0,0,0,0,0,26.69,0.73,0,27.85,1.18,0.71,1.24,0,0,0,0,0,0,6.33,0,4.34,0
 96-106,0,0,0,0,0,5.07,0,0,0,6.32,0,0,0,0,0,0,0,5.88,0,15.75,1.5,0,19.07,0,2.49,4.24,0,2.69,2.71,0,0,0,5.05,0.58,2.78,0
108-118,0,0,0,0.44,0,9.68,0,0,0,12.72,0.43,0,0,0,0,0.62,3.71,0,0,11.49,0,0,27.55,0.55,1.19,3,0,0,2.63,0,1.76,0,7.09,0,4.04,0.91
120,0,0,0,24.73,0,33.92,0,1.03,0,79.27,0,0,14.8,0,0,0,0,0,0,61.77,0,7.14,223.79,3.27,12.58,4.37,0,0,0,0,0,0,3.29,0,0,4.22
