stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  3-4,101.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,78.04,0,10.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.11,0,7.41,0,0,0,0,0,0,0,0,0
  7-9,0,0,7.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49.33,12.13,0,101.1,0,0,7.32,0,0,0,0,0,0,0,0
 10-12,13.1,0,4.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49.52,9.39,0,77.16,0,0,0,0,7,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.34,0,0,0,0,0,0,0,0.84,0,0,0,0,0,0,0
 24-34,0,0,0,0.68,0,0,0,0,0,1.25,0,0,0,0,1.61,0,0,3.18,0,1.27,0,0,1.75,0,0,0,0,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,1.24,0,0,0,0,1.57,0,23.68,0,5.27,7.29,0,0,0,0,0,0,0,0,0,0,0,1.25,0,0
 48-58,0,0,0,4.42,0,0,0.39,0,0,0.43,0,0,3.61,0,70.88,0.53,0,1.41,0,3.43,0,2.91,0,0,0,0,0.5,0,0,13.36,2.32,0
 60-70,0,0,0,4.95,0,0,0,0,0,0,0,2.38,6.03,0,194.34,14.17,0,34.34,0,0,0,5.25,0,0,0,0,0,2.06,0,80.52,0.67,5.4
 72-82,0,0,0,1.42,0,1.04,8.23,0,0,0,0,0,37.5,0,207.44,61.71,3.02,19.38,0,0,0,24.54,0,0,0,0,0,0,0.67,145.25,9.89,5.18
 84-94,0,1.23,0,2.71,0,0,7.85,0,0,4.92,0,0,23,2.16,256.48,35.73,3.49,11.9,0,0,0,10.1,2.7,0,0,0,0,0,0,206.02,1.61,9
 96-106,0,0,0,1.33,4.65,0,17.64,1.76,7.52,0,5.61,0,46,2.11,432.96,204.07,8.5,33.99,0,0,0,39.34,0.86,0,0,0,0,0,0,576.68,6.81,43.44
108-118,0,0,0,3.53,0,2.65,19.35,2.71,2.38,0,0,0,29.95,0.42,531.74,187.63,18.58,51.07,0.87,1.33,0,86.18,1.6,0,0,0,0,12.15,2.47,480.51,2.92,20.96
120,0,0,0,0,0,0,44.27,0,0,12.54,0,0,22.71,0,721.74,172.43,0,0,0,0,0,97.92,1.62,0,0,0,0,6.18,0,1098.44,11.2,121.73
