stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,lateral_line,liver,mesenchyme,mucous,muscle,neural,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,pronephros,slow_muscle,somites,spinal_cord,vasculature,xanthophores
  5-6,7.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.11,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,8.54,0,0,0,0,0,0,0,0,17.28,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,12.9,0,16.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.04,0,0,12.35,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,6.63,0,0.89,0,0,0,0,0,0,0,0,0,0,0,1.7,0,2.78,14.49,0,0,1.02,0,1.61,0,0,0.8,4.16,3.84,0,0
 24-34,0,0,0.73,2.89,0,0,0,0,0,0,0,0,0,0,1.61,0,0,4.08,0.91,2.72,12.1,2.34,0,0,0,2.61,0,0,0,0.67,2.83,3.14,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,1.47,0,0,0,0,2.61,0,0,6.85,0,1.14,0,0,2.6,0,0,0,0,0,0,1.22
 48-58,0,0,0,0,0,0,0,0.55,0,1.44,0.38,0,0,0,0,0,0,1.87,0,0,1.33,1.47,0.54,0,0,1.25,0,0,0,0,2.77,0,0
 60-70,0,0,0,1.52,0,0,0,1.15,0,0.64,1.69,0,0,0,0,0.7,0,0.66,1.02,0,8.66,1.48,0,0,0,3.15,0,0,0,0,0,2.97,0
 72-82,0,0.58,0,1,0,2.79,2.65,0.7,0,3.25,0,0,0,0,0,0,0,0.89,0,0,6.69,3.63,0,0,0,1.43,0,0,0,0,4.87,2.1,0
 84-94,0,0,0,8.18,4.6,0.65,0,3,0,2.73,0,0.91,2.63,0,3.04,0,0,0,0,0,10.07,0,2.26,0,1.53,23.89,0,1.35,0,0,0,0,0
 96-106,0,2.08,0,6.56,0,12.61,0,0.59,0,14.5,1.47,0,0,0.66,0.77,2.09,1.2,6.86,3.59,0,4.48,3.49,2.68,0,0,27.39,0,0,0,0,0,0,0.85
108-118,0,0,0,2.65,1.38,2.24,0,1.66,1,5.72,0.7,0,0,0,1.1,0,3.74,7.21,0,1.18,10.73,8.99,0.86,0,0,15.29,0,0.42,0,0,9,0.46,0
120,0,0,0,7.34,0,0,0,2.33,0,12.79,1.61,0,3.06,0,0,5.57,5,0,0,5.1,2.54,0,0,0,0,20.51,2.5,0,0,0,2.96,4.09,0
