stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,0,0,12.31,120.4,43.34,0,54.54,0,0,8.37,0.98,11.96,2.73,2.52,1.22,0,1.11,0,5.95,72.5,0,0,55.45,414.39,12.63,4.14,23.5,10.86,0,45.63,1.8,77.6,3.4,7.68,77.25,86.41,0,0,1.91,0,3.62
 24-34,0.83,0.8,1.3,20.08,4.33,0,117.33,0,0.92,7.57,0,0,0,2.15,0.82,2.64,0,3.58,0.95,56.83,0,0,28.65,818.97,2.47,6.76,5.06,0,0,22.13,0.86,6.99,0.73,0,1.31,119.38,0,0,18.51,0,1.48
 36-46,0,0,0,9.51,8.08,0,275.93,16.87,1.23,8.14,0,0,0,0,0.91,7.74,0.77,0,0,51.07,0,0,7.42,632.02,1.06,8.95,3.52,0,0,32.27,0,0,0,2.81,0,80.5,0,0,3.35,0,2.01
 48-58,0,0,0,12.05,1.99,0,312.4,3.45,8.13,28.97,6.71,0,0,0,0,9.55,1.27,0,0.48,47.02,0,0.92,7.34,537.54,3.85,0,0,0,0,7,0,0,0,0,0,53.24,0,0,6.3,0,0
 60-70,0,0,0,18.78,3.45,0,315.87,0.89,1.77,47.46,2.61,0,0,0,3.74,2.09,0.72,1.06,0,61.29,1.43,9.81,13.74,409.77,0.62,1.19,6.81,0,0,10.82,0,0,0,1.63,0,21.36,0,0,5.38,0,0
 72-82,0,0.93,0,4.76,8.39,0,105.26,0,0,9.03,2.24,0,0,0,0,0,0,0,0,34.84,0,0,4.85,170.27,0.55,0.88,1.53,0,0.71,2.3,0,0,0,0,0,5.24,0,0,0.62,0,0
 84-94,0,0,1.01,8.41,20.4,0.58,68.83,0.66,2.2,26.51,0.59,0,4.3,4.4,4.53,0,0,0.58,0,18.54,0.75,0.69,7.95,91.67,2.49,3.15,0,0,0,2.65,0,0,6.73,0,0,1.32,0,0,7.24,1.07,0
 96-106,0,0,0,0,59.78,0.67,40.55,0.9,0,12.45,3.62,0,0,1.63,0.66,0.72,0,1.13,0.68,17.22,1.41,2.1,5.42,49.3,0,0,1.28,0,0,4.15,0,0,0,0,0,4.16,0,0,1.37,0,0
108-118,0,0,0,6.79,50.96,0,42.59,1,2.32,19.28,0,0,1.62,2.26,2.1,0,1.87,0.84,0,11.82,0,2.3,3.42,91.4,0,0,2.98,0,0,2.85,0,0,0.96,0.44,0,0,0,0.54,2.55,0,0
120,0,0,0,12.51,85.23,0,123.69,0,3.63,43.09,2.28,0,1.85,6.06,0,0,0,15.68,0,36.64,0,2.22,2.82,228.85,1.1,0,8.72,0,0,7.41,0,0,0,0,0,6.12,7.52,0,25.31,0,0
