stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,melanocytes,mesenchyme,muscle,neural,notochord,otic,paraxial.mesoderm,spinal.cord,vasculature
  3-4,23.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,16.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,7.89,16.38,0,0,3.38,0,0,0,0,0,0,0,0,19.99,0,0,0,0,0
 10-12,0,238.11,0,19.83,8.85,0,0,0,0,0,0,0,0,262.96,0,0,5.19,0,0
 14-21,0,0,8.98,6.44,0,0,0,0,0.96,0,0,6.43,0,5.76,0.95,0,0,0.88,0.9
 24-34,0,0,0,0,0,0,0.71,0,0,10.7,0.59,1.03,1.41,0,0.59,0,0,1.92,12.75
 36-46,0,0,0,0,0,0,0,0,0,0,0,2.62,1.46,0.72,0,0,0,0,0.89
 48-58,0,0,0,0,0.56,0,0.65,0,0,0,0,1.8,0.4,0,0,0.38,0,0,0
 60-70,0,0,0,0,0,0,0.68,0,0,0,0,28.45,1.08,1.18,0,0.59,0,0,0
 72-82,0,0,0,0,3.07,0,2.7,0,0,0.6,0,30.21,0,1.07,0,0.79,0,0,0
 84-94,0,0,0.67,0,0,0,0,10.22,0,3.64,0,26.84,0,0,0,0,0,0,1.49
 96-106,0,0,0,0,0,0,2.75,1.63,0,2.2,0,21.97,0,2.31,0,1.65,0,0,0.94
108-118,0,0,1.83,0,0,1.29,1.61,2.71,0,0,0,25.4,0,0,0,0,0,0,0
120,0,0,0,0,0,0,15.58,0,0,0,0,17.35,0,0,1.12,0,0,0,0
