stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,178.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74.14,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.98,58.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.19,0,0,0,0,0,0,0,0,0,0,0
  7-9,10.94,212.2,11.98,0,0,0,238.71,0,0,0,0,0,8.37,0,0,0,0,0,0,0,0,0,0,0,13056.77,11.97,0,0,531.23,0,31.17,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,111.88,79.06,0,11.83,0,303.74,0,0,0,0,0,18.15,0,0,0,0,0,0,0,0,0,0,0,18665.72,86.41,0,0,1031.07,0,34.12,3.78,0,79.81,0,6.84,5.09,0,0,0,0,0
 14-21,0,0,0,847.85,2.7,0,10.74,0,0,0,0.87,0,0.86,1.92,0,5.13,0,3.91,0,0.95,20.38,1.22,0,2.07,254.22,0,0,14.28,0.87,0,57.56,0,7.07,27.16,2.79,8.92,71.56,0,0,0,0,0
 24-34,0,0,0,121.37,0.67,0,14.31,0,2.9,0.68,9.02,0,0,1.94,0,0,0,9.59,0,0,86.96,0,0,2.61,611.79,0,2.82,9.75,0,0,46.58,0,0,5.55,2.63,0.62,81.53,0,0,5.63,0,0.95
 36-46,0,0,0,58.32,0,0,107.02,1.38,4.53,3.34,26.62,0,0,0.69,0,0,0.94,21.32,0,5.15,112.36,1.16,0,4,2007.08,0,1.51,9.47,0,0,52.81,0,0,24.45,7.64,0,240.57,0,0,0,0,0
 48-58,0,0,0,55.37,1.12,0,588.44,0,14.23,13.97,49.73,0,0,0,0,0,7.19,11.42,0,0.4,146.89,1.53,4.59,4.64,2257.51,0,4.44,0.69,0,0,57.38,0,0,1.4,0,0,302.53,0,0.84,3.13,0,4.63
 60-70,0,0,0,33.82,4.29,0,721.29,3.07,8.53,19.4,37.69,0,0,1.19,5.97,0,8.1,3.26,0,0,277.22,0,0,1.62,1802.94,0,2.01,2.66,0,2.39,21.84,0,0,1.95,2.72,0,184.18,0,0.57,3.46,0.98,3.83
 72-82,0,0,0,29.12,8.67,0,577.5,1.87,3.03,10.2,64.4,0,0,0,0,0.53,0,13.54,3.49,4.12,230.02,1.25,5.65,9.47,1127.68,0,3.91,2.89,0,0.71,5.38,0,0,3.92,0,0,76.08,0,3.38,9.86,1.15,3.46
 84-94,0,0,0,46.47,6.06,0,505.74,7.38,14.04,10.7,59.4,0.96,0,0.7,1.6,0,2.83,6.16,0,14.51,224.46,3.33,1.31,3.91,723.59,0,0.56,3.85,0,11.69,36.31,0,0,0,0,0,41.75,0,1.5,3.69,0.61,3.83
 96-106,0,0,0,22.88,19.07,0,294.64,0,5.06,6.88,47.56,0,0,0,1.7,0,0.75,15.26,0,0,201.29,4.95,2.11,0,503.56,0,0,2.07,0,3.49,28.84,0,0,0,0,0,9.8,0,0,0,0,3.01
108-118,0,0,0,24.17,7.76,0,286.04,0,6.16,3.1,55.86,0,0,4.25,0.86,0.5,0.83,7.31,0,0,218.45,9.81,11.91,4.56,705.83,0.44,0.41,0.6,0,5.71,12.92,0,0,0.48,0,0,7.01,0.43,3.51,4.83,0,0.87
120,2.37,0,0,11.27,1.34,17.01,436.81,0,5.97,7.46,78.82,1.71,0,0,0,3.26,0,3.28,0,0,231.73,0,0,6.63,938.96,0,0,4.54,0,0,9.75,0,0,0,0,0,8.06,1.1,14.93,0,0,2.33
