stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,203.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.52,0,0,0,0,0,0,0,0,0,0
  5-6,60.96,0,13.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66.73,3.39,0,0,26.14,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,46.79,1.24,0,1.91,0,1.69,0,0,0,1.26,0,0,0,3.97,0,0,11.74,0,0,20.17,77.29,5.84,0,49.48,0.87,0,1.01,0,4.66,0,0,43.09,17.17,0,0,0,0
 24-34,0,0.65,0,17.25,2.21,0,4.42,9.89,8.27,1.86,0.6,0,0,0,0,0,55.78,0,1.09,63.92,0,0,41.21,301.93,8.92,6.37,92.21,0,0.99,0,0,0,0,7.51,58.33,8.91,0,4.69,0,0
 36-46,0,0,0,4.76,0.98,0,1.66,42.5,5.86,3.62,1.43,0,0,0,0,0.74,50.53,0,0,144.4,0,0,32.19,303.93,1.2,4.72,95.17,0,0,0.87,0.68,1.05,0,7.49,3.56,10.65,0,0,0,0
 48-58,0,0,0,2.37,1.54,0,23.76,36.25,15.02,3.03,3.84,0,2.71,0,0,0,66.33,0,0,235.09,2.73,0,21.19,248.28,0.39,2.85,112.44,0,0,0.93,0,0,0,7.41,0,17.64,1.22,0.44,0,0
 60-70,0,0,0,2.79,0,0,43.02,23.13,6.05,0,19.71,0,0,0,0,0,59.97,0,0,377.67,0,0,14.62,239.55,0,1.64,97.14,0,0,0.69,0,0,0,4.13,0,25.51,1,7.18,0.87,0
 72-82,0,0,0,6.31,4.96,0,42.5,12.61,0.64,6.58,14.05,0.69,1.55,0,0,0,108.69,0.81,0.49,468.61,1.12,0,27.01,263.46,0,1.37,142.79,0,0,4.48,0,0,0,0.74,0,17.61,2.02,1.71,2.36,0
 84-94,0,0,0,9.08,4.52,0,42.73,22.9,7.92,9.17,12.51,0.75,0,0,0.8,0,139.74,9.21,0,340.3,0,0.72,18.93,99.4,0,13.85,165.03,0,0,3.82,0,0,0,4.22,0,28.98,0.69,1.24,1.89,0
 96-106,0,1.43,0,14.8,5.69,2.05,38.67,24.91,1.29,4.49,61.65,0.62,0.78,1.45,0,0,163.78,12.27,0,355.75,0.71,1.58,12.64,201.18,3.03,20.08,189.9,10.66,0,11.61,0,0,0.59,5.47,0,0,1.01,0,1.13,1.22
108-118,0,0,0,6.96,2.1,1.33,27.8,26.96,6.1,6.92,55.62,0.47,1.44,0.51,1.15,0,124.65,0.91,0.6,419.53,0.43,3.76,32.33,190.46,0,9.4,142.17,0,0,1.47,0,0,0.44,10.11,0,1.21,3.23,0.56,7.3,0
120,0,0,0,9.09,0,0,17.77,22.27,13.25,6.21,95.54,4.48,0,4.77,0,0,84.27,0,0,228.52,6.27,30.93,39.54,308.38,0,10.22,185.48,0,0,0,0,0,0,2.81,0,0,0,0,5.18,1.16
