stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,glial,liver,mesenchyme,neural,olfactory,periderm,spinal.cord,xanthophores
  3-4,12.51,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0.81,3.95,0,0,0.83,0
 24-34,0,1.05,0,0,0,0,0,0,33.11,0,0,6.65,0
 36-46,0,0,0,0,3.12,0,0,0,119,0,2.37,22.42,0
 48-58,0,0,0.47,1.4,15.01,1.76,0,2.06,194.72,0,0,25.13,6.01
 60-70,0,0,2.68,0,58.69,1.62,0,0,302.86,1.19,0,37.39,0
 72-82,0,0,0,1.07,20.6,0,0,2.18,189.42,1.49,0,28.39,0
 84-94,0,0,0.58,0,33.23,0,0,7.1,120.26,0,0,9.42,0
 96-106,0,0,0,0,40.16,3.49,0,0,75.12,0,0,13.51,0
108-118,0,0,0,0,15.55,0,5.97,0,137.55,0,0,10.26,0
120,0,0,0,0,20.96,0,0,0,238.75,2.97,0,0,0
