stage,axial,blastomeres,endocrine_pancreas,epidermis,eye,fin_epithelia,gut,hatching_gland,immune,ionocyte,lateral_line,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,periderm,pgc,pronephros,spinal_cord,taste
  3-4,28.49,113.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.27,0,0,0,0
  5-6,12.9,50.74,0,0,0,0,0,0,0,0,0,0,0,0,10.2,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.32,0,0,0
 10-12,0,7.25,0,0,0,0,0,0,0,0,0,0,0,0,42.23,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0.85,0,6.17,0,0.86,2.06,1.13,0,0,0,0.8,0,0,0,0,0
 24-34,0,0,0,1.35,0,0,0,18.73,0,19.7,0,0,6.08,0,9.78,0,1.34,0,0,0,1.42,0,0
 36-46,0,0,0,0,0.57,0,0,6.97,0,9.05,0.75,0,10.49,0,47.35,0,0.56,0,0,0,4.29,0.63,0
 48-58,0,0,0,2.46,1.89,0.8,0,23.66,0,18.66,0,0,18.57,0,31.88,0,0,0,0,0,3.32,0,0
 60-70,0,0,0.57,6.16,0.66,0,0.84,4.79,0,2.04,0,0.92,17.76,0,37.41,0,0.84,0,0,0,6.96,0,0
 72-82,0,0,0,0.78,0,0.81,0,3.37,0.52,4.29,0,1.15,34.6,0,15.89,9.68,3,0.88,8.86,0,7.76,0,0
 84-94,0,0,0,4.63,0,1.3,3.5,5.75,1.44,14.29,0,0,42.46,0,28.12,0,1.51,0,6.96,0,20.83,0,0
 96-106,0,0,0,3.44,0,0,2.66,1.32,5.92,19.2,3.3,1.38,63.73,0,17.83,0,5.12,2.76,7.46,0,17,0,0
108-118,0,0,0,4.99,0,0,7.61,0,5.46,21.1,0,2.69,34.31,0.43,11.8,0,7.53,1.04,4.51,0,27.68,0,1.77
120,0,0,0,7.07,0,0,13.73,0,7.42,36.71,4.01,0,7.22,0,3.81,0,24.12,1.12,1.68,0,13.29,0,0
