stage,axial,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,liver,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,pronephros,somites,spinal_cord,vascular_smooth_muscle,vasculature,xanthophores
  3-4,0,21.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,53.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.18,0,0,0,14.21,0,6.94,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.73,0,0,0,13.5,0,0,7.65,0,0,0,0,0
 14-21,0,0,0,0,0.86,0.86,0,0,0,0,0,0,0,0,0,3.22,0,0.9,4.67,0,0,0.88,0,0,0,0,0.89,2.02,0,0,0
 24-34,0,0,0,0.69,0,0.91,0,0,0,0,0,0,0,0,0,0.81,0,0,2.05,1.02,0,0,0,0.62,0,0,0.73,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.47,0,0.75,8.04,0,1.54,0,0,0.64,0,0,0,2.38,0,1.44,2.66
 48-58,0.78,0,0,0,1.92,6.38,0,0,0,0.65,0,0,0,0.49,0,0.9,0,0,1.83,0,0,0,0,8.22,0,0,0,0,0,0,0
 60-70,0,0,0,0,6.02,13.05,0,0,0,3.81,0.75,0,0,0,0,6.08,1.27,0,6.53,0,0,0,0,3.12,0,0,0,0.89,0,0,0
 72-82,0,0,0,0,21.77,5.23,0,0,1.26,4.23,0,1.25,0,0,0,2.43,0,0,2.15,0,0,1.01,0,2.48,0,0,0,0,0,1,0
 84-94,0,0,0,0.98,42.97,16.6,0,0,0,4.27,0,0,0,1.3,2.2,0,0,2.75,0,0,0,0,0,6.29,0,0,0,0,0,1.4,0
 96-106,0,0,0,3.56,48.08,9.25,0,0.63,0,7.74,1.63,0,0,0.73,1.8,4.79,0,0,12.7,0,1.36,0,0,0,0,0,0,0,0,0.64,0
108-118,0,0,0.61,0,54.59,11.98,0,0.71,0,11.02,0.66,0,1.86,0,0,5.72,0,0,11.51,0,0.43,0,0,1.49,0,0,0,0,1.77,2.01,1.87
120,0,0,0,1.34,53.26,4.77,6.39,0,0,14.71,0,0,0,1.77,0,7.68,0,3.36,0,0,0,0,0,2.21,0,0,0,0,0,0,0
