stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,glial,gut,hatching.gland,immune,ionocyte,iridophores,mesenchyme,mucous,muscle,neural,periderm,pronephros,spinal.cord,vasculature
  3-4,9.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,54.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,6.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.83,0,0,0,0
 24-34,0,0,0,6.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.65,0,0
 36-46,0,0,0,6.07,0,0,0,0,0,0,0,0,0,0,0,0,0,5.22,0,0.63,0,0
 48-58,0,0,0,94.22,0,0,3.59,7.57,0,0,0,0,0,0,1.06,0.72,0,3.66,0,0,0,0
 60-70,0,0,0,82.62,0,0,9.4,20.96,1.42,0,0,0,0.61,0,0,4.35,0,7.11,0,0,1.36,0
 72-82,0,0,0,82.64,0,0,1.67,8.1,2.07,0,0.6,0,0,0,3.59,2.74,0,7.37,0,0,0,1.89
 84-94,0,0,0,127.26,0,0,0,44.83,1.24,0,0,0,0,0,0,0.64,0,17.03,0,0,1.5,0
 96-106,0,0.63,0,452.89,3.01,0.94,20.07,74.84,3.8,1.27,0,1.03,0,1,1.19,2.96,0,20.6,1.24,0,0,2.2
108-118,0,0,0,425.15,1.93,0,0.6,117.61,0,0,0,0,0,0,3.8,1.75,3.6,15.75,0,0.43,0,0
120,0,0,0,393.09,0,0,4.44,65.43,0,0,0,0,0,0,0,5.14,0,31.27,8.57,0,0,0
