stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,iridophores,lateral.line,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,17.01,453.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.57,0,0,0,0,0,0,0,0,0
  5-6,14.18,194.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.26,0,0,0,0,0,0,0,0,0
  7-9,10.29,9.87,0,0,0,0,0,9.29,0,0,0,0,0,5.72,0,0,0,0,0,0,0,98.07,0,0,0,8.71,0,0,0,0,0,0,0,0,0,0
 10-12,0,11.23,0,0,0,0,0,11.84,0,0,0,0,0,0,0,0,0,0,0,0,0,65.03,8.44,0,0,0,0,0,7.77,0,0,0,0,0,0,0
 14-21,0,0,0,2.45,6.5,3.22,0,5.33,0,0,0,0,1.58,0,0,0,0,0,9.05,0,3.25,193.18,2.63,1.03,1.48,0,0,1.42,0,3.44,36.38,0,0,0,0,0
 24-34,0,0,0.75,0,0.61,0,0,16.99,0,0,0,3.87,0,0,0,0,1.64,0,0,0,0.65,557.9,0.64,27.31,0.66,0,0,0,0,1.54,93.15,0,0,2.67,0,2.48
 36-46,0,0,0,0,2.88,0,0,37.57,0,0,0,5.56,0,0,0.72,0,0,0,5.08,0,1.62,1189.83,2.73,21.16,0,0,1.7,0,0,0,178.23,0,0,0,0,16.06
 48-58,0,0,0,0,1.84,0,0,189.16,0,0,0,23.07,0,0,0,0,0,0.63,4.97,0,1.79,1495.62,0,11.88,0.44,0,6.4,0,0,0,232.24,0,0,0.46,0,9.51
 60-70,0,0,0,0,9.02,0,0,334.58,0.65,0,0,3.81,0,0,0,0,1.2,0,7.53,0.89,7.08,2042.06,0,12.86,0,0,0,0,0,0,241.18,0,0,1.29,0,4.09
 72-82,0,0,0.61,0,2.58,4.08,0,345.72,0,0,0,25.09,0.63,0,0,4.84,0.9,0,14.21,0,5.81,1548.74,1.43,14.61,0,0,0.56,0,0,0,126.48,0,1.32,2.88,0.52,12.73
 84-94,0,0,0,0,1.79,0.55,0,299.38,0,0,0,15.4,0.63,0,0,0,1.93,0,10.13,0.6,3.58,1206.81,0,10.53,0,0,0,0,0,0,133.98,0,0,3.93,0,8.01
 96-106,0,0,1.19,0,4.99,4.06,0,167.05,0,0,0,12.66,0.92,0,0,1.21,2.18,0,11.72,1.14,4.15,772.25,0,23.74,0,0,0,0,0,0,27.98,0,0,0,1.71,9.28
108-118,0,0,0,0,0,0,1.73,184.46,0,0,0.8,13.19,0,0,0,0,2.02,0,22.58,0,1.25,1123.07,0,9.43,0,0,6.06,0,0,0,28.14,0.89,1,0,0,5.51
120,1.19,0,0,0,12.51,0,0,284.41,0,2.37,0,54.89,0,0,0,1,0,0,5.97,0,13.12,1454.35,0,17.1,0,0,2.23,0,0,0,8.64,0,0,0,0,2.33
