stage,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,heart,iridophores,liver,mesenchyme,muscle,neural,notochord,olfactory,otic,periderm,spinal_cord,vasculature
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,4.34,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,2.85,0,0,0,0,0,88.72,1.13,0,0,0,52.07,0
 24-34,0,0,0,0,4.6,0,0,0,0,0,2.18,1.95,0.92,749.81,0,0,0.82,0.72,305.29,2.01
 36-46,0,0,0.63,0,41.61,0,0,0.6,0,0,0,13.99,0,721.28,0,0,0,5.5,403.03,0
 48-58,0,0,2.6,0,28.24,0.89,0,6.1,0,0,0,13.97,0,250.77,0,0,0,0,109.61,0
 60-70,0.62,0,0,2.38,30.09,0,0,11.56,0,4.25,0,6.26,1.3,77.3,0,0,0,0,17.58,0
 72-82,7.77,0,0,0,16.84,0,0,9.21,1.12,0,0,8.08,0,63.57,0,0,0.49,0,10.4,0
 84-94,2.27,0,0,1.87,15.19,0,1.67,8.26,0,0.73,0,10.27,0,78.4,0,0,0,0,2.88,0
 96-106,8.08,0,4.07,0.69,19.95,0,0,5.31,0,0,7.59,29.96,0,28.13,0,0,0,1.22,13.29,2.43
108-118,5.32,0,1.61,0,20.56,0,0,17.69,0,3.69,0.56,12.05,0,49.99,0,0.43,0,0,0,0
120,14.01,1.66,0,0,0,0,0,32.84,0,0,0,16.59,0,55.04,0,0,0,1.72,0,0
