stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,iridophores,lateral.line,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle
  3-4,9.65,9.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,3.86,0,0,0,0,0,0,0,5.13,0,0,0,0,0,0,18.39,4.16,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.24,0,0,0,0,0,0,0,0,0
 14-21,0,0,2.41,14.85,5,0,0,0,0,0,0,0,0,0,15.7,0,9.31,18.07,0.95,0,0,4.61,0,4.52,1.11,0,0
 24-34,0,0,0,8.72,0,0,0,0,0,0,0,0,0,0,25.25,0,4.23,25.56,0,2.69,0,0,0,0.82,9.06,0,0
 36-46,0,0,0,5.49,0,4.22,0,0,1.16,0,0,0,0,0,26.07,0,0,16.33,0.7,22.05,0,0,0,0,4.27,0,0
 48-58,0,0,0,6.3,0,8.25,0,0.44,0.89,0,0,0,0,0,31.36,4.59,1.99,30.35,0,25.46,0,0,0,0,4.79,0,0
 60-70,0,0,0,4.46,0,33.35,0.82,0,7.36,0.63,0,0,0,0,69.69,0,8.51,24.02,0,13.57,0,0,0,0,1.2,0,0
 72-82,0,0,0,0.72,0,14.86,0,0,4.95,0.7,0,0,0.61,0,133.75,1.08,3.81,41.12,0,6.33,0,0,0,0,9.19,0,0
 84-94,0,0,0,5.09,0,4.73,0,0,10.14,0,2.66,0,1.9,0.73,76.34,0,0,34.48,0,3.26,0,0,0.94,0,5.82,0,0
 96-106,0,0,0,1.12,1.17,13.92,0,0,4.09,0,0,0,0.91,0,54.15,1.11,0.64,18.13,0,8.74,0,0,0.61,0,0,0,0
108-118,0,0,0,3.48,0,12.24,0,0,0,0,0,0,0,0,96.93,0,5.11,17.99,0,8.56,0.58,0,3.24,0,0,1.01,1.79
120,0,0,0,0,0,15.23,1.42,0,0,0,0,1.01,0,0,147.08,0,0,24.29,0,18.02,0,0,10.08,0,0,0,0
