stage,epidermis,eye,fast.muscle,glial,gut,ionocyte,iridophores,mesenchyme,neural,periderm,pronephros,somites,visceral.smooth.muscle
 10-12,0,0,0,0,0,0,0,0,3.55,0,0,3.11,0
 24-34,0,0,0,0,0,0,0,0,0,0,9.36,0,0
 48-58,0,0,0,0,0,0,0,0,0.68,0,0,0,0
 60-70,0,15.4,0,0,1.7,0,0,0,14.32,1.04,0.64,0,0
 72-82,0,15.22,0,0,3.41,0,0,1.94,34.94,0,3.43,0,0
 84-94,0,18.01,4.02,0,10.48,0,0,0,23.46,0,1.9,0,0.78
 96-106,0,13.68,0,0.91,12.18,0.61,0,2.72,40.09,0.63,0,0,0
108-118,1.22,13.11,0,0,17.98,0,0.43,3.67,45.8,0,0,0,0
120,9.64,23.4,0,0,30.01,0,0,2.9,120.84,1.61,0,0,0
