stage,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,heart,immune,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,otic,pericytes,periderm,presomitic.mesoderm,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.03,0,0,2.68,0,0,0,0,0,0,2.45,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0.83,0,0,0,0,0,0,13.39,0,0,10.47,4.09,0,0,0,0,0,0,0,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,1.64,0,0,0,0.86,0,0,90.92,0,0,70.13,9.61,0.84,0,0,0,1.63,0,0,0,6.15,0,0,0
 48-58,0,2.64,0,0,9.23,0,0,2.91,0.74,0,0,1.98,0,1.44,273.63,0,0,128.11,8.54,0,0,0,0,0,0,1.6,0,1.22,0,0,0
 60-70,0,0,0,0,11.31,0,0,0,0,0,0,5.41,0,0,667.24,0,0,156.45,19.82,0,0,0,0,0,0,0,0,3.44,0,0,0
 72-82,0,1.43,0.5,0,49.93,0,0,6.34,1.95,0,0,3.61,1.37,0,1489.01,3.53,0,212.73,37.84,0,0,0,1.65,0,0,3.04,0,17.97,0,1.25,0
 84-94,0,2.72,1.9,0,38.9,0,0,0,11.96,3.36,0,5.57,0,0,1225.72,0,0.73,191.5,36.29,0,0,0,0.79,0,0,0,0,20.46,0,1.06,0
 96-106,0,5.53,4.92,1.07,45.85,1.35,2.56,1.03,8.91,0.82,8.04,3.73,0,1.37,1879.59,0,1.62,124.93,49.31,0,1.83,0,0,0,0,0,0,47.48,1.31,7.71,0
108-118,2.1,6.02,2.87,0,34.66,0,0,3.06,5.06,0,0,18.53,0,0,2068.04,0,1.34,111.57,90.28,0,0.43,0.76,0,0,0,0,0,26.36,3.9,7.2,6.36
120,0,4.64,0,0,62.25,0,1.41,0,10.77,0,0,7.16,0,0,2013.07,0,13.74,115.8,42.44,0,0,0,2.27,0,0,0,16.19,23.85,0,0,0
