stage,axial,blastomeres,epidermis,erythrocytes,eye,fin.mesenchyme,glial,hatching.gland,iridophores,mesenchyme,mural.cell,muscle,neural,notochord,paraxial.mesoderm,somites,spinal.cord,vascular.smooth.muscle
  3-4,25.94,9.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,7.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,3.85,0,0,0,0,7.34,0,21.82,0,0,0
 10-12,0,0,0,0,0,0,0,4.76,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1.18,0,0,0,0,0,0,0.88,0,0,1.9,0,0,0,0,0
 24-34,0,0,0,0,0,0.64,0,0,0,0,0,0,0,2.14,0,0.82,0,0
 36-46,0,0,0,0,0,0,0.65,0,1.36,2.55,0,0.87,0.79,4.64,0,0,0,0
 48-58,0,0,0,0,3.3,0,0,0,0,0,0,0,0,0,0,0,0,0
 60-70,0,0,0,0,1.88,0,1.25,0,0,0.97,0,0,2.14,0,0,0,0,0
 72-82,0,0,0,5.83,0,0,0.99,0,0,1.84,0,0,1.29,0,0,0,0.7,0
 84-94,0,0,0,0,0,0,0,0,0,2.39,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,0,5.56,0,0,1.75,0,0,0,0,0,0,0,0
108-118,0,0,0,0,0,0,0,0,0,1.18,0.94,3.78,0,0,0,0,0,4.42
120,0,0,0,0,0,1.85,1.61,0,0,3.57,0,0,0,0,0,0,0,0
