stage,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pgc,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,0,0,16.47,2.25,0,0,0,0,0,0,0,3.84,15,0,0,0,0,0,15.84,0,0,27.56,6.13,0.88,0,1.81,0,0,0,0,14.96,4.19,0,0,1.07,0,0
 24-34,0,0,4.58,0.66,0,1.67,0,0,0,0,0,2.35,34.85,0.7,0,1.07,0,0,65.72,0,2.93,38.19,19.42,6.7,0,0,4.88,0,0,0,0,1.2,0,0,2.35,0,0
 36-46,0,0,0.58,0,0,0,0.85,0,7.7,0,0,4,25.31,1.28,0,2.08,0,0,132.92,0,36.73,48.1,60.06,5.65,0,0.79,0,8.64,0,0,0,1.05,0,2.73,3.47,0,0
 48-58,0,0,21.45,1.45,0,11.62,1.48,11.71,75.97,6.46,3.41,40.88,298.32,14.63,0.46,5.62,0,0,703.61,0.8,177.52,265.35,169.89,34.1,0,1.39,18.61,2.35,0,1.69,0,16.14,0,7.18,45.89,2.22,8.09
 60-70,1.1,0,28.67,3.42,0,25.31,1.12,3.63,72.03,2.58,7.76,27.45,144.87,4.53,11.51,2.13,3.1,0,612.3,0.85,157.94,154.71,97.43,4.05,0,6.22,14.3,0,0,0,0,0,0,53.76,26.23,42.2,10.96
 72-82,0,0,5.91,14.49,0,60.24,1.84,8.65,115.61,5.3,6.32,31.02,224.48,4.02,0.9,2.75,6.3,0,693.54,0,154.73,151.1,124.82,1.87,0,22.79,48.22,5.92,0,0,0,1.62,1.21,51.06,40.08,94.62,3.36
 84-94,0.6,0.57,19.53,20.05,1.17,27.65,0,5.14,82.89,5.09,13.51,38.77,356.13,6.63,0,1.74,0.93,0,715.84,0,147.36,117.67,84.56,1.47,0,5.06,61.99,2.54,0,0,0,0,0,78.9,27.93,106.29,0.86
 96-106,0.56,1.1,48.43,51.57,4.28,99.19,12.09,4.63,250.55,47.61,54.11,146.47,835.26,16.7,0,14.29,11.13,0,1972.66,0,423.51,297.42,318.35,7.3,0,21.57,349.61,1.84,1.14,17.79,0,0,1.23,159.59,150.13,325.18,0.8
108-118,0,0,34.57,11.58,1.73,36.01,3.78,3.05,166.75,14.22,25.66,26.01,380.48,11.02,0.44,4.93,5.92,2.72,1739.83,0.61,186.51,198.48,252.09,9,5.58,10.68,274.67,1.13,0,1.27,0,4.81,0.96,84.57,42.2,140.38,5.41
120,0,0,58.17,57.1,0,112.77,8.26,15.75,319.37,34.67,83.34,109.69,1287.67,22.76,0,13.03,11.4,0,3193.29,0,491.36,358.61,385.35,32.02,0,25.05,561.93,7.99,0,0,0,14.1,7.74,82.85,145.63,323.2,0
