stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,189.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2187.06,0,0,0,0,0,0,0,0,0,0
  5-6,19.32,259.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.22,17.23,0,0,0,0,4879.51,0,0,0,0,0,0,0,0,0,0
  7-9,6.52,0,0,0,0,0,7.94,0,0,0,0,7.43,0,0,0,0,0,0,0,0,0,0,125.58,4.61,0,0,25.71,0,498.82,0,0,0,0,0,0,0,0,0,0
 10-12,0,11.7,0,11.89,0,0,3.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,760.99,12.11,0,0,73.39,0,143.48,0,19.78,0,0,0,0,0,0,0,0
 14-21,0,0,2.22,5.99,304.67,0,0.86,2.33,0,0,0,0,0,10.38,0,0,0,0,4.52,2.55,0,0,17.88,0,2.86,8.85,0,0,930.34,5.27,0,1.03,2.5,6.7,0,0,0,0,0.85
 24-34,0,0,0,11.34,82.03,0,2.88,12.4,0,4.16,0,0,0,17.32,0,6.17,1.9,6.43,6.26,5.85,0,13.2,85.63,0,9.82,15.31,0,0,964.01,0,0.8,0,0,16.63,0,0,1.45,0,0
 36-46,0,0,0,0.88,44.62,0,4.82,37.09,0,2.87,1.15,0,0,22.03,0,8.68,0,4.76,2.81,11.72,0,1.07,59.39,0,2.82,13.91,0,0,1007.52,0,0,0,0,15.46,0,0,0,0,0
 48-58,0,0,0,0.44,72.52,1.92,13.27,24.01,0,2.94,0,9.69,0,4.11,10.28,9.29,0,0,2.65,4.94,0,1.34,78.06,0,2.16,17.93,0,0,699.1,0,0,0,0,19.55,0,0,0,0,0
 60-70,0,0,0,0,139.91,0,27.12,45.47,0.86,1.42,11.7,8.36,0,10.57,27.88,16.22,0,0,15.14,2.84,0,0,29.63,0,1.68,15.31,0,0,675.18,0,0,0,0,3.96,3.21,0,0,0,12.11
 72-82,0,0,0,0,109.72,0,41.93,17.98,1.03,6.59,45.74,4.74,0,21.7,40.09,15.21,0,0,4.94,7.9,0,0,65.26,2.83,4.18,32.87,0,0,534.54,0,0,0,0,0,1.33,0,1.47,0.91,2
 84-94,0,0,0,0,197,0,16.69,41.29,0,5.66,110.18,6.75,0,33.01,20.15,8.85,0,0,8.56,8.9,0,0,46.89,0,13.54,20.77,0,0,1185.08,0,0.73,0,0,0,7.66,0,0.57,0,2.43
 96-106,0,0,0.95,4.43,251.6,8.44,36.31,31.17,0,7.02,124.58,0,2.64,56.92,11.6,22.97,0,0,16.05,10.62,0,0,55.33,0,19.41,20.23,0,2.72,1267.24,0,0,0,0,4.31,10.99,0,2.57,1.85,0
108-118,0,0,0,6.64,246.8,2.56,10.88,54.85,0,5.07,127.52,0,1.52,70.03,39.47,13.16,3.66,0,8.37,13.11,1.21,0.79,51.27,0,10.92,20.78,0,0,985.85,0,0,0,0,9.66,8.32,1.53,2.55,0,0
120,0,0,2.52,3.32,299.28,5.28,10.86,60.66,0,10.48,85.21,0,0,17.08,20.3,13.31,0,0,15.78,8.36,0,0,119.2,0,17.6,28.33,0,0,589.4,0,0,0,0,0,3.16,0,0,0,7.88
