stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,glial,gut,ionocyte,lateral.line,liver,mesenchyme,muscle,neural,olfactory,otic,pericytes,periderm,presomitic.mesoderm,slow.muscle,somites,spinal.cord,vasculature,xanthophores
  5-6,11.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,3.83,0,0,0,0,0,0,0,3.81,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,5.99,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1.25,0.89,2,0,0,0,0,0,1.4,0,15.1,0,0,0,0,1.12,0,2.01,5.88,0,0
 24-34,0,0.61,0,0,2.26,0,0,0,0,0,0,0,27.18,0,0,0,0,0,1.1,0,1.39,0,0
 36-46,0,0,0,0,9.55,0,0.82,0,0,0,0,0,26.34,2.33,0,0,0,0,0,0,10.43,0,0
 48-58,0,0,0,0,22.1,3.41,0,0,0,0,1.86,1.11,34.1,3.62,0.41,0,0,0,0,0,2.88,0,0
 60-70,0,0,0,0,18.44,2.08,0,0,0,0,1.61,3.4,33.65,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,2.05,0,14.04,3.36,0,0.57,0,0,2.41,0,14.55,4.27,0,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,2.05,2.16,0,0,1.32,0,1.02,0,24.67,15.87,0,0.83,0,0,0,0,1.8,0,0
 96-106,0,0,0,0,5.92,0,0,0,0,1.2,5.91,0,14.54,0.97,0,0,3.09,0,0,0,0,0.98,0
108-118,0,0,0,0,10.02,1.88,2.24,0,0,0,3.65,0,7.06,8.27,0.48,0,0,0,0,0,0,0,4.66
120,0,0,0,0,0,0,0,1.63,0,0,0,0,11.7,34.75,0,0,0,0,0,0,0,0,0
