stage,blastomeres,endoderm,epidermis,erythrocytes,eye,glial,gut,hatching_gland,heart,immune,mesenchyme,mural_cell,muscle,neural,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,spinal_cord,vasculature,visceral_smooth_muscle
  5-6,60.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,15.8,0,0,0,0,0,0,5.13,0,0,0,0,0,14.77,0,0,21.66,0,3.26,0,0,0,0
 10-12,0,12.12,0,0,0,0,0,9.95,0,0,0,0,0,23,0,0,10.05,0,0,0,0,0,0
 14-21,0,0,3.35,1.1,0,0,0,0,0,0,0,0,0,15.08,0,0,0,0,0,0,7.26,0,0
 24-34,0,0,1.52,0,4.14,0.88,0.68,0,2,0,0.89,0,0.6,35.61,0,0,0,0,1.7,0.72,4.59,2.11,0
 36-46,0,0,0,0,8.59,0,0,0,0,0,0,0,0,10.38,0,0.61,0,0,0,0,2.78,0,0
 48-58,0,0,0,1.81,11.28,8.73,0,0,0,0,0.51,0,0.48,29.53,0,0,0,0,0.87,0,4.32,0,0
 60-70,0,0,0.73,0,36.97,6.71,0,0,0,0.79,3.67,0,0,32.73,0.96,1.12,0,0,0,0,5.07,0,0
 72-82,0,0,1.34,0,36.75,0.61,0,0,0,0,4.03,0,0,29.32,0.54,0,0,0,0,0,3.97,0,0
 84-94,0,0,0,0,13.45,0,0,0,0,0,1.49,0,0,6.23,0,0,0,1.53,0,0,0,0,2.26
 96-106,0,0,0,3.14,39.85,3.3,1.28,0,0,0,3.07,0,0,7.94,4.67,2.06,0,0,3.04,0,1.22,0,0
108-118,0,0,0,0,10.51,4.56,0.42,0,0,0,3.84,0,0,19.35,0,0.62,0,0,0,0,7.43,1.32,0
120,0,0,0,0,3.88,10.48,0,0,0,0,0,16.08,0,35.39,0,0,0,0,0,0,0,0,0
