stage,epidermis,fin.epithelia,gut,ionocyte,mucous,neural,otic,periderm,xanthophores
 14-21,0,0,0,0,0,0,0,1.86,0
 24-34,0,0,0,0,0,0,0,3.99,0
 36-46,0.57,0,0,0,0,0.69,0,18.19,0
 48-58,0,0,0,0,0,0,0,3.01,2.41
 60-70,0,0,0.63,0,0,0,0.91,6.23,0
 72-82,0,0,0,0,0,0,0,0.59,0
 84-94,0,0.97,0,1.93,4.41,0,0,5.9,0
 96-106,0,0,0.93,0,0,0,0,6.73,0
108-118,2.39,0,0,0.93,0,0,0,2.72,0
120,3.69,1.19,2.43,0,1.46,0,6.78,1.03,0
