stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,14.43,196.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.26,0,0,0,0,0,0,0,0,0,0
  5-6,50.84,334.29,0,0,0,0,0,0,0,0,0,0,7.31,0,0,0,0,0,0,0,0,0,0,0,45.58,0,0,0,0,0,7.68,0,0,0,0,0,0,0,0,0,0
  7-9,19.27,13.75,0,0,0,0,0,43.62,0,0,0,0,22.61,0,0,0,0,0,0,0,0,0,0,0,431,24.39,0,0,152.36,0,4.29,0,0,0,0,0,0,0,0,0,0
 10-12,0,23.06,0,69.15,0,5.14,0,45.54,0,0,0,0,10.82,0,0,0,0,0,0,0,0,0,0,0,440.59,10.88,0,0,154.84,0,0,14.35,0,16.51,0,0,0,0,0,0,0
 14-21,0,0,0,2.28,23.11,0,0,7.93,0,0,7.8,1.19,0,0,0,0,0,0,0,1.01,10.12,0,0,7.98,148.31,7.22,0,1.2,3.65,0,2.35,0,9.94,0,8.95,49.12,0,0,0.83,0,0
 24-34,0,0,0,1.7,14.26,0,0,27.78,0.8,0.92,1.71,0.67,0,3.01,0,4.54,0,1.63,0.61,0,35.44,0,0,16.72,323.99,1.32,4.4,4,0,0,8.29,0,0.93,0,1.21,83.78,0,0,3.07,0,0
 36-46,0,0,0,0.87,2.23,0,0,47.2,0,3.39,8.35,0,0,0,0,0,1.81,0,0,0,32.23,0,2.48,7.72,301.21,0.82,0.86,2.09,0,0,33.33,0,0,0,0.83,60.61,0,1.89,5.32,0,0
 48-58,0.58,0,0,0,11.67,0,0,56.36,0,1.7,15.42,0,0,0,0,0,0.41,0.53,1.39,0,29.05,0,1.65,5.56,189.21,0.39,0,0.41,0,0,4.75,0,0,0,0,51.85,0,0,1.46,0,0
 60-70,0,0,0,0,3.5,0.59,0,100.86,8.88,0.86,7.31,0,0,10.66,6.78,1.87,3.07,0.63,0,0,58.5,0,0.59,2.15,135.15,0,1.72,0,0,0.63,14.11,0,0,0,0,46.62,0,4.25,3.31,0.89,0
 72-82,0,0,0,0,4.79,5.01,0,90.3,0,0.61,21.4,0,0,2.3,0.53,0,0.65,4.08,0,0,58.7,0,1.15,7.2,128.79,0,5.53,1.87,0,0,1.08,0,0,0,0,17.58,0,4.66,2.63,1.85,1.08
 84-94,0,0,0,0,9.09,0,0,62.25,2.86,2.49,16.45,5.56,0,0,1.34,2.04,2.34,0.78,0,0,53.39,3.12,6.33,5.26,132.53,0,1.95,2.58,0,0,13.56,0,0,0,0,7.54,0,1.27,6.27,0,0
 96-106,0,0,0.89,0,15.15,2.9,0.89,50.94,0,0,28.05,1.89,0,0,0.62,0,0,3.39,14.57,0,38.74,5.4,1.52,3.77,54.58,0,0.59,1.65,0,0,14.87,0,0,0,0,7,0,0,3.52,0,0
108-118,0,0,3.57,0,18.56,0.5,0,40.07,0.8,1.86,28,4.67,0,0,0.89,0.55,2.55,0,2.21,0,48.38,8.28,0.9,3.47,117.47,3.41,5.31,4.73,0,3.28,6.56,0,0,0,0,9.54,2.79,1.36,2.97,1.9,1.61
120,0,0,0,0,3.48,0,0,29.66,0,0,48.22,3.8,0,0,0,2.44,0,0,4,0,47.26,0,0,4.16,84.03,0,12.21,21.8,0,4.48,15.98,0,0,10.7,0,1.98,0,0,0,0,0
