stage,blastomeres,epidermis,erythrocytes,eye,glial,heart,immune,mesenchyme,muscle,neural,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,spinal.cord,vasculature,xanthophores
  5-6,11.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,3.86,0,0,0,0,0,0,0,0,3.68,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,11.82,0,0,0,0,0,0,0,0,0,0
 14-21,0,2.98,0,0,0,0,0,0,0,2.06,0,1.2,0,0,0,1.35,1.13,0.83,0,0
 24-34,0,0.72,0,0,0,0,0,0,0,2.72,0,0,0,0,2.96,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,4.68,0.6,0,0,0,3.45,0,0,1.12,0,0
 48-58,0,0,0,0,0,0,0,0,0,1.05,0,0,0,0,2.67,0,0,0,0,0
 60-70,0,0,0,1.98,0,0,0,0,0,5.33,0,0,0,0.66,4.08,0,0,0,0,0
 72-82,0,0,0,4.86,2.38,0,0,1.21,0,735.02,0,0,0,0,0,0,0,4.07,0,0
 84-94,0,0,0,13.15,0,0.7,0,0.64,0,203.45,0,0.57,0,0,0,0,0,0,0.94,0
 96-106,0,0,2.19,1.65,0,0,1.99,3.62,1.43,701.39,0,2.3,0,0,0,0,0,0,0.93,0
108-118,0,0,0,2.35,0,0,0,0,0,221.09,0,0,0,0,0,0,0,0,0,2.03
120,0,0,5.16,3.93,0,0,0,0,0,1241.78,0,0,0,0,0,0,0,0,0,0
