stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,vascular_smooth_muscle,vasculature,xanthophores
  3-4,174.12,4053.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,129.82,0,0,0,0,0,0,0
  5-6,219.37,4431.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.62,14.56,0,0,8.27,75.39,0,0,0,0,0,0,0
  7-9,14.24,13.32,26.5,0,0,78.69,0,0,0,0,20.62,0,0,0,0,0,0,0,0,0,0,0,620.65,0,0,0,147.47,0,0,9.82,0,0,0,0,0
 10-12,0,0,5.41,0,10.86,24.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,249.13,0,0,0,54.52,0,0,19.24,0,0,0,0,0
 14-21,0,0,5.14,50.72,6.26,5.67,0,0,1.68,2.9,1.58,0,0,0,0.87,0,0,12.67,9.41,0,0,4.48,136.27,2.49,0,0,1.86,2.71,14.06,0,9.54,43.83,0,3.53,7.03
 24-34,0,0,0,3.6,0,8.32,0,0,1.62,0,0,0,0,0,0,0,0.68,20.7,8.34,0.61,0,7.86,106.16,0,0.69,1.28,0,1.67,0,0,0.64,33.52,0,3.07,15.09
 36-46,0,0,0,1.55,0,9.13,0,0.62,2.91,0,0,0,0,0,0.74,0,0,4.55,9.1,0,0.96,2.93,68.78,0,1.48,0,0,2.5,0,0,0,14.39,0,3.13,9.75
 48-58,0,0,0,0,0,6.99,0,0,7.06,0.39,0,0,0,0,0,0.69,0,1.93,6.91,0,1.17,0.53,12.81,0.65,0,0,0,0,0,0,0,8.38,0,1.5,5.23
 60-70,0,0,0,0,0,9.75,0,0,3.12,0,0,0,0,0,0,0,0,1.94,9.19,0,0,1.25,15.45,0,0,0.62,0,3.92,0,0,0,7.84,0.65,0,5.06
 72-82,0,0,0,0.49,0,11.53,0,0,4.12,0,0,0,0.53,0,0,0,0,0,11.13,0,0,1.43,2.96,0,0,0,0,0,0,0,0,0,0,0.76,0
 84-94,0,0,0,0,0,2.52,0,0,0.7,0,0,0,0,0,0,0,0,0,8.82,0,0,2.13,2.58,0,1.78,0,0,2,0,0,0,0,0,1.22,4.62
 96-106,0,0,0,0,0,1.63,1.05,0,1.72,0,0,0.99,0,0,0,0,0,0,3.39,0,0,0,10.37,0,2.22,0,0,0,0,0,0,0,0,0,0
108-118,0,0,0,5.65,0,7.69,0,0,0,0.59,0,0,0.5,0.43,0,0,1.33,0.61,7.45,0,0,0.9,6.86,0,0,0,0,0,0,0,0,1.31,0,0,0
120,0,0,0,1.68,0,0,0,0,0,1.73,0,0,6.7,0,0,0,0,0,0,0,0,0,21.7,0,0,1.76,0,0,0,0,0,0,0,0,0
