stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,ionocyte,lateral.line,liver,mesenchyme,mucous,muscle,neural,notochord,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,vasculature,visceral.smooth.muscle
  3-4,16.57,84.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.88,302.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.02,0,0,15.17,0,0,0,0,0,0,0
  7-9,0,0,0,14.22,0,0,29.32,0,0,0,0,3.85,0,0,0,0,0,0,114,4.73,0,20.63,4.34,0,0,0,0,0,0
 10-12,0,3.56,0,9.14,0,0,15.98,0,0,0,0,0,0,0,0,0,0,0,99.74,0,0,34.25,0,0,8.21,0,0,0,0
 14-21,0,0,0,0,3.32,0.92,0.95,0,0,1.22,0,0,0,0,0,0,0,4.76,20.86,0,0.8,0,0,0.94,0,1.09,3.8,2.24,0
 24-34,0,0,0,0,1.12,0,3.05,0,0,0,0,0,0,0,0,2.37,0,4.86,20.56,0,0,0,2.24,0,0,1.24,6.1,0,0
 36-46,0,0,0,0,0,0,7.41,0,0,3.12,0,0,0,0,0,7.54,0,0,43.59,0,0,0,2.32,0,0,0,6.04,0,0
 48-58,0,0,0,0,0,0,5.62,0,0.77,3.46,0,0,0,0,0,2.65,0,0,18.29,0,0,0,0,0,0,0,0.39,0,0
 60-70,0,0,0,0,0,0,4.73,0,0,3.37,0,0,0,0,0,9.99,0,0,15.21,0,0,0,0,0,0,0,0,0,2.72
 72-82,0,0,0,0,0.49,0,1.92,0,0,2.53,0,0,1.02,0,0,7.17,0,3.75,10.25,0,0,0,1.94,0,0,0,3.59,0.89,0
 84-94,0,0,0,0,0.98,0,4.54,0,2.46,0.58,0,0,0,0,0.56,2.72,1.73,1.23,8.44,0,0,0,0.61,0,0,0,1.86,0,0
 96-106,0,0,0,0,0,0,1.44,1,0,4.18,0,0,0.94,0,0,2.19,0,0,0.83,0,0.79,0,0,0,0,0,0,0,0
108-118,0,0,0.71,0,0,0,0,0,0.96,3.92,1.23,0,0,0,0,5.15,0,0.97,12.67,0,0,0,0,0,0,0,0,0,0
120,0,0,0,0,0,2.57,0,0,0,0,0,0,0,6.94,0,7.21,0,0,9.49,0,0,0,0,0,0,0,0,0,0
