stage,blastomeres,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_mesenchyme,glial,gut,heart,immune,iridophores,lateral_line,melanocytes,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature
  3-4,13.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,87.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.14,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51.15,8.93,0,0,22.26,0,0,0,0,0,0,0,0
 10-12,16.49,0,0,0,3.66,0,0,0,0,0,0,0,0,0,0,0,0,11.44,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,8.81,0,0,0,0,0,0,0,0,0,0,0,0,1.89,0,6.11,6.58,0,0,1.84,0,5.96,2.07,0.85,1.12,7.87,0,0,0.84
 24-34,0,1.7,0,0,0.82,0,0,0,0,0,0,0,0,0,1.6,0,0,11.89,0,0,1.51,0,5.12,0,0,0,5.26,0,0,0
 36-46,0,0,0,0,2.85,0.61,0,1.87,0,0,0,0,0,1.14,4.01,0,0,11.68,0,1.25,0,0,4.66,0,0,0,0.73,0,0,0
 48-58,0,1.29,0,0,0.95,0,0,0.47,0,0,0,0,0.41,0.57,0.8,0,0,9.32,0,0.37,0,0,3.68,0,0,0,5.07,0,0,0
 60-70,0,0,0,0,0,0,1.38,6.91,0,1.29,0,0,0,0,3.74,0,2.67,22.94,0,0,0,0,5.69,0,0,0,2.72,0,0.61,0
 72-82,0,1.27,0,0,1.2,0,0,0.81,0.53,0.7,0,0,0,0,2.17,0,0,5.04,0,0,0,0,0.62,0,0,0,0,0.82,0,0
 84-94,0,1.98,0.89,0,0.71,0,0,5.46,0,0,1.47,0,0,1.53,7.06,0,0,2.76,0.63,0,0,0,14.67,0,0,0,0,0,0,4.25
 96-106,0,2.85,0,0,1.95,0,0,4.38,1.11,0,0,0,1.13,0,1.69,1.75,0,3.71,0,4.16,0,0,3.02,0,0,0,0,0.59,0,3.22
108-118,0,2.77,0,1.67,2.83,0,0,0,5.06,0,0,1.79,0.78,0,6.65,4.11,0,4.54,0,0.95,0,0,3.2,0,0,0,0,5.48,1.1,0.72
120,0,1.33,2.16,0,2.58,0,0,0,0,0,0,0,0,0,0,0,3.65,0,0,0,0,0,11.45,0,0,0,0,0,0,10.56
