stage,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,10.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,18.5,0,0,0,0,0,0,0,0,0,7.15,0,0,0,0,0,0,0,0,0,0,22.92,0,0,22.75,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,15.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,3.92,8,0,0.8,0,0,0,0,0,0,0,0,0,0,0,0,7.14,0,0,5.07,19.28,7,0,0,0,0,3.01,0,0,2.73,3.99,0,6.59,0,0
 24-34,0,0,4.99,0.61,0,2.45,0,0,0,0,0,0,1.98,1.64,0.68,0,1.2,0,26.76,0,0,13.91,33.04,2.16,0,0,0,0,0,0,0,0,9.19,0,25.11,0,0.89
 36-46,0,0,4.89,0,0,1.81,2.44,0,0.96,2.76,0,0,1.67,2.97,0.56,0,0,4.76,80.19,0,0,14.24,28.88,0.6,0,0,0,0,0,0.75,0,0,2.64,0,33.93,0,7.52
 48-58,0,0,4.91,0,0,6.53,0,1.73,1.97,6.91,2.57,0,1.82,1.9,9.5,0.56,2.23,1.12,52.86,0,0.73,9.04,26.77,0,0,0,0,3.33,0,0,0,0,3.29,0.84,23.49,0,2.75
 60-70,0,0,2.46,0,0,1.75,0,4.18,6.21,39.79,0,0,2.55,7.64,0,0,0,1.56,88.83,0,0.68,14.84,49.74,0,0,0,2.23,0,0,0,0,0,4.93,1.27,17.88,0,2.72
 72-82,0,0,1.78,0,0,11.2,0,2.6,1.78,17.68,0.53,0,0.89,1.95,0.66,0,7.36,0.5,70.16,0.71,3.51,1.47,19.48,0,0,0,2.89,0,0,0,0.59,0,5.22,2.14,27.88,5.03,4.27
 84-94,0,0,2.24,0,0.87,9.68,0,4.4,8.35,27.28,3.89,0,1.02,14.91,7.25,2.53,5,7.95,97.46,0,6.64,4.41,15.23,2.3,0,0,0,1.66,0,0,0,0,0.65,1.5,32.82,2.29,0
 96-106,0,0,5.61,0,0,4.03,0,0.85,2.71,51.69,0.74,0,4.22,8.33,8.05,5.44,5.61,0,52.43,0,5.83,6.15,10.88,0,0,0,4.28,3.01,0,0,0,0,0,3.16,33.19,1.13,0
108-118,0,0,5.88,0,3.6,5.52,0,1.71,3.83,50.21,2.02,0,3.7,5.38,8.29,12.43,4.73,2.88,79.36,0,3.73,9.04,12.45,1.1,0.79,0,3.85,0,0,2.18,0,0,0,1.35,37.4,3.07,2.79
120,0,0,4.71,0,2.59,13.49,0,0,0,58.54,6.75,0,0,25.38,5.09,7.82,2.7,0,77.05,0,3.7,2.38,14.69,4.3,3.59,0,0,5.41,0,0,0,0,0,23.2,62.31,0,1.16
