stage,blastomeres,epidermis,erythrocytes,eye,fin.mesenchyme,glial,immune,mesenchyme,neural,olfactory,otic,vasculature,xanthophores
  7-9,4.32,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0.96,0,0,0,0
 36-46,0,0,0,0,0,0,0.92,0,0,0,0,0,0
 48-58,0,0,0,0,0.45,0,0,0,0,2.25,0,1,0
 60-70,0,0,0,1.56,0,0,1.34,0,0.97,0,0,2.2,0
 72-82,0,0,0,0,0,0,17.05,2.92,0,0,0,2.8,0
 84-94,0,0,1.7,0,0,0,4.56,0,0,0,0,0.58,0
 96-106,0,0,0,4.14,0,0,47.98,2.88,0,2.4,0,9.63,3.36
108-118,0,0.44,0,0,0,0,102.88,1.3,0.96,0,0,8.83,0
120,0,0,0,4.59,0,12.67,375.98,4.48,0,0,1.02,19.37,0
