stage,axial,blastomeres,endoderm,epidermis,eye,fin_epithelia,immune,ionocyte,melanocytes,mesenchyme,mucous,muscle,neural,notochord,paraxial_mesoderm,periderm,xanthophores
  3-4,0,25.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.8,272.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,4.17,0,0,0,0,0,0,0,0,0,27.56,0,6.71,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,11.25,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,1.04,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.66,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,1.7,0,0,20,0
 48-58,0,0,0,1.31,0,2.05,0,0,0.62,0.48,0,0,0.98,0,0,28.02,2.63
 60-70,0,0,0,0,0,1.19,0,0,0,0,1.1,0,0,0,0,1.32,0
 72-82,0,0,0,0,4.63,0,0,0,1.18,0,0,0.53,1.34,0,0,5.99,0
 84-94,0,0,0,3.22,2.24,0,0.65,0,0,0,0,0,5.28,0,0,8.1,0
 96-106,0,0,0,0,0,0.97,0,0,0,0,0,0,0,0,0,7.97,0
108-118,0,0,0,0.9,0,0,0,0,0,0,0,0,0,0,0,8.06,0
120,0,0,0,0,0,0,0,3.32,0,1.47,2.91,0,0,0,0,34.34,0
