stage,epidermis,eye,glial,iridophores,mesenchyme,muscle,neural,otic,somites,spinal_cord,vasculature
 14-21,0,0,0.95,0,0.93,0,13.75,0,0.92,1.09,0
 24-34,0,2.89,0,0,1.42,0,5.32,0,0,0,2.58
 36-46,0,1.06,1.53,0,2.04,0,2.64,0,0,0,2.41
 48-58,2.02,0,0.7,0,0,0,10.17,0,0,5.94,0
 60-70,3.29,0.84,0.8,0,0,0,3.91,0,0,0,0
 72-82,0,2.02,3.26,0,4.59,0,10.96,0,0,0,0
 84-94,0,1.83,0,0,2.64,0,2.85,0,0,0,0
 96-106,0,16.54,0,0.66,0,0,6.07,0,0,0,0
108-118,0,1.34,0,0,0.65,0.75,13.36,0.58,0,0,0
120,0,0,0,0,0,0,4.88,2.84,0,0,0
