stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,11.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,4.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.93,0,0,0,5.38,0,0,0,0,0,0,0
 10-12,0,0,10.3,0,0,9.05,0,0,0,0,0,46.67,0,0,0,0,0,0,0,0,67.74,0,0,0,14.31,3.81,0,0,0,0,0,0
 14-21,0,0,0.8,2.43,0,0,0,0,0,0.85,2,16.94,0,0,0,0,0,0,0,0,176.68,4.5,0,1.05,0,6.71,3,66.45,0,0,0,0
 24-34,0,0,0.81,0,0,9.26,0,0,0,5.57,0,0,0,0.8,8.03,0,0,0,3.52,1.51,1658.12,5.53,0.65,0.61,0,0,0,297.96,0,1.69,0,0
 36-46,0,0,0,0.56,0,42.05,0,0,0,1.66,0,0,0,0,0,0,0,0,6.33,0,2382.03,0.6,0,0,0,3.95,0.81,206.24,0,3.7,0,14.33
 48-58,0,0,0,0,0,66.83,0.51,0,0,19.95,0,0,0,0,0,0,6.91,5.43,9.54,1.66,2515.24,0,0.91,0,0,2.06,0,73.44,0,0,0,1.96
 60-70,0,0,0,0,0,38.48,0,0,0,37.39,0,4.94,0,0,0,1.16,0,1.94,5.08,3.46,2081.24,0,0,0,0,2.46,0,26.18,0,0,0,0
 72-82,0,0,0,10.2,6.2,86.8,0,0.63,5.87,71.16,0,0.65,0,1.71,0,0,3.56,0.95,18.94,0,2221.13,0,0,0,0,0,0,21.17,0.58,0.62,0.72,14.46
 84-94,0,0,0,12.62,0,71.47,0,0,0,53.27,0,0.76,0,0,12.2,0,0,0,25.42,0,1039.05,0.66,0,3.13,0,3.17,0,39.42,0,0.97,0,0
 96-106,0,0,0,3.9,0,60.92,0,0,0,59.02,0.63,0,2.84,0.77,0,0,0,0,21.91,5.32,1280.44,0,0,8.16,0,3.14,0,6.97,0,0,0,0
108-118,0,0,0,6.78,0,84.82,0,0,0,98.76,0.51,0,0,0.59,0,0,0,0,20.79,0,1303.74,0,1.5,1.06,0,2.98,0,6.35,0,0,1.05,0
120,0,0,0,0,0,26.93,0,0,0,98.88,4.5,0,0,0,0,0,0,0,15.48,6.01,2042.27,0,0,0,0,0,0,61.45,0,0,0,0
