stage,axial,blastomeres,eye,gut,immune,muscle,neural
  3-4,10.19,10.41,0,0,0,0,0
 10-12,0,0,0,0,0,0,11.93
 24-34,0,0,0,0,2.15,0,0
 48-58,0,0,0,0,1.39,0,0
 60-70,0,0,2.01,0,5.4,0,0
 72-82,0,0,0,0,1.27,0.69,0
 84-94,0,0,0,0.76,0,0,1.66
 96-106,0,0,0,0,4.93,0,0
108-118,0,0,0,0,8.57,0.57,0
120,0,0,0,0,1.01,0,0
