stage,epidermis,erythrocytes,eye,fast.muscle,glial,heart,melanocytes,mesenchyme,mucous,neural,otic,periderm,presomitic.mesoderm,spinal.cord,vasculature
 10-12,0,0,0,0,0,0,0,0,0,5.21,0,0,0,0,0
 14-21,0,0.95,0,0,0,0,0,0,0,0,0,0,0.82,0,0
 24-34,0,0,1.04,0,0.98,0,0,0,0,4.15,0,0,0,5.72,0
 36-46,0,0,0,0,0,0.93,0,0,0,3.15,0,0,0,2.13,0
 48-58,0,0.38,1.85,0,0,0,1.1,1.59,0,17.9,0,0,0,0,0.66
 60-70,0,0,23.69,0,1.56,0,0,0,0,9.82,0,1.58,0,1.82,0
 72-82,0,3.31,21.76,1.42,5.01,0,0,4.08,0,22.43,1.32,0,0,2.64,0
 84-94,4.7,0,14.03,0,0,0,0,0,0.61,21.97,0,0,0,1.44,3.77
 96-106,0,0,4.72,1.95,3.61,0,0,0.79,0,10.74,0,0,0,0,0
108-118,1.04,0,7.65,0,0.47,0,0,0,0,11.73,0,0,0,4.34,0
120,7.53,0,18.76,0,5.06,0,0,1.08,0,0,0,0,0,0,0
