stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,vascular.smooth.muscle,vasculature
  3-4,12.69,249.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,39.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.16,0,0,0,0,0,0
  7-9,19.38,3.62,3.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,8.49,0,0,36.08,0,0,0,0,0,0,0,0
 10-12,0,0,21.86,0,0,0,3.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49.66,4.01,0,0,36.78,0,0,0,0,0,0,0,0
 14-21,0,0,0,6.46,0.94,0,0.85,0,0,0,0,0,0.99,0,1.16,0,0,0,0,1.04,0,0,7.21,26.22,0,0,0,0.82,0,4.08,3.15,2.38,3,6.09,0,0
 24-34,0,0,1.54,0,0,0,2.01,0,0,0,1.09,0,0,0,0,0,0,0,0,4.36,0,0,5.2,54.05,0,0.66,2.37,0,0,0.83,0,0,0.79,19.12,0,1.4
 36-46,0,0,0,0,0,0,10.26,0,0.69,0,18.55,0,0,0,0,0,0,0,0,9.33,0,0,3.17,82.14,0,1.89,1.82,0,0,0.94,0,0,0,8,0,9.24
 48-58,0,0,0,9.52,0.58,0,20.2,0,0,0.41,4.07,0.91,0,0,0,0,0,0,0,9.04,0,0,1.19,63.01,0,1.71,0.66,0,0,5.92,0,0,0,3.64,0,0.58
 60-70,0,0,0,0.88,0,0,34.7,0,2.01,0.84,11.89,0,0,0,0,0,0,0,1.56,10.88,0,0,0,66.18,0,0,0,0,0,13.5,0,0,0,9.23,0,1.05
 72-82,0,0,0,1.36,0,0,24.33,0,0,1.36,11.72,0,0,0.59,0,0,0,0.79,0,8.76,0,5.07,3.13,57.64,0,0,0,0,0,0.98,0,0,0,6.9,0,0
 84-94,0,0,0,0,0.79,0,14.05,0,0,1.9,5.46,0,0,1.89,0,0,0,0,0,3.69,0,0,0,22.61,0,0,0,0,0,5.82,0,0,0,3.19,1.79,0.74
 96-106,0,0,0,0.66,0,0,13.83,0,0,1.11,2.29,0,0,3.37,1.25,0,0,0,0,4.26,0,2.03,0,32.6,0,0.7,0,0,5.34,0.57,0,0,0,0,0,0
108-118,0,0,0,3.99,1.7,1.08,17.32,0,0,0,9.54,0.43,0,2.44,0,0.64,0.49,0,0,11.16,0,0,2.07,39.64,0,0,0.78,0,0,4.85,0,0,0,9.34,0,1.41
120,0,0,0,1.56,12.75,0,25.72,1.57,0,0,2.1,0,0,2.94,0,0,0,0,0,18.76,3.7,0,0,102.2,0,0,4.02,0,0,13.67,0,0,0,0,0,6.67
