stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,24.04,145.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,132.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,32.19,0,0,0,0,0,0,4.26,0,0,0,0,0,0,0,26.58,4.06,0,0,31.85,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,31.13,0,4.74,0,0,0,0,0,0,0,0,0,0,0,0,38.79,0,0,0,7.45,0,0,0,6.67,0,0,0,0,0,0,0
 14-21,0,0,0.93,8.5,0,0,0,0,0,0,0,0,0,0,13.01,0,6.11,7.18,0,0,1.09,0,0,1.97,4.19,0,6.69,2.9,0,0,0,0,0
 24-34,0,0,0,2.18,0,0,0.7,0,0,0,1.76,0,0,0,44.16,0,10.23,21.39,0.62,0,1.35,0,0,0,0,0,1.94,7.29,0,0,10.59,0,0
 36-46,0,0,0,4.15,0,0.6,10.65,2.05,0,0,4.84,0,0,0,44.29,1.72,12.74,9.82,0,0,0,0,0,0,0,0,0,0,0,0,2.26,0,0
 48-58,0,0,0,0,0,0,2.26,1,0,0,0,0,0,1.35,26.86,0.51,5.92,7.17,0.61,0,0,0,0,0,0,0,0,0.38,0,0.61,3.43,0,0.54
 60-70,0,0,0,0,0,3.98,14.36,0.72,0,0,0,0,2.57,5.63,48.91,0,3.77,0,1.12,0,0,0,0,1.12,0,0,0,2.34,0,0.98,0.87,0.89,5.73
 72-82,0,0,0,0,0,2.46,11.57,4.45,0,0,0,0,3.3,0,92.36,3,5.81,9.5,0.58,0,0,0,0,0,0,0,0,0,0,1.46,7.69,1.55,0
 84-94,0,0,0,1.01,1.05,2.69,12.91,0.59,0,0,0,1.13,4.35,0,79.63,8.19,5.83,6.16,1.05,0.56,0,0,0,1.21,0,0,0,0,0,0.69,4.12,7.34,0
 96-106,0,0,0,1.21,0,3.5,24.95,2.75,0,0,0,0,19.09,0,86.93,2.17,8.62,5.79,1.13,0,1.07,0,4.81,3.55,0,0,0,7.25,0,3.33,4.22,9.12,0
108-118,0,0,0,3.68,0,6.89,6.91,2.77,0,0,1.81,0.56,59.51,0,152.9,4.52,3.33,15.87,1.15,0,0,0,1.84,0,0,0,0,1.4,3.42,3.68,1.74,3.59,0.63
120,0,0,0,0,0,3.09,14.15,0,2,0,0,0,41.82,0,80.7,0,5.61,15.81,8.4,0,0,0,8.63,0,0,0,0,0,0,0,0,2.31,7.39
