stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,119.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,38.59,246.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,9.99,0,0,14.35,0,0,0,30.78,0,0,0,0,0,7.31,0,0,0,0,0,0,0,0,0,0,0,172.39,4.49,0,0,70.44,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,14.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,216.7,13.56,0,0,92.39,0,0,0,0,16.07,0,0,0,0,0,0,0
 14-21,0,0,0,0,5.58,0,0,2.38,0,0,0,0,0.99,0,0,0,0,0,0,0,0,0,0,0,4.78,53.87,0,0,2.71,2.92,0,0,0,6.82,0,11.81,25.9,0,0,8.2,0,0
 24-34,0,0,0,0.62,1.85,0,0,23.22,0,0,1.02,7.56,0,0,0.95,0,0.6,0,0,0,0,13.95,0,0,4.53,186.09,0,0,5.18,0,0,5.83,0,0,0,2.61,45.41,0,0,2.73,0,0
 36-46,0,0,0,0,5.48,2.2,0,20.58,0,0,0,10.91,0,0,0,0,0,0,0.56,0,0,7.27,5.89,0,1.75,170.16,0.84,3.18,1.38,0,2.85,5.84,0,0,2.31,0,43.46,0,0,4.02,0,0
 48-58,0,0,0,0,3.83,1.42,0,49.24,0,0,1.01,20.24,0,5.14,2.32,2.89,5.74,0,0.95,0,0,8.72,0.5,0,1.11,130.04,0,1.23,3.89,0,0,8.48,0,0,0,0,28.68,0,0,2.77,0,2.65
 60-70,0,0,0,0,0,0.76,0,44.12,3.88,1.18,0,33.98,3.91,0,0,2.45,4.34,0,0,0,0,15.63,0,2.68,1.02,73.05,1.57,5.32,0,0,0,7.45,0,0,1.06,0,19.42,0,0,0.93,0,0
 72-82,0,0,0,0,3.35,5.39,0,72.26,0,0.55,0.55,13.26,3.12,0,2.8,0,3.98,0,0,0,0,14.13,0,0,5.61,85.39,0,2.79,0,0,0,1.92,0,0,0,0,6.38,0,0,1.74,1.13,0
 84-94,0,0,1.04,0,1.25,0.72,0,44.38,0,0,0,4.45,3.49,0,0,3.19,1.68,2.66,0.66,0,1.55,11.56,0,0,1.26,52.32,1.27,1.59,6.01,0,0,10.05,0,0,0,0,0,0.86,1.08,2.57,0,0
 96-106,0,0,0.99,0,5.41,6.53,2.31,42.4,0,0,0,6.98,0,0,7.06,1.08,0,0,0,3.52,0,15.42,0,2.29,2.81,50,0.73,4.17,3.09,0,0,3.78,0,0,0,0,2.32,8.76,0,0.89,0,0
108-118,0,0,0,0,7.15,2.26,1.2,55.11,0,0,0,17.36,2.94,0,0,0,3.55,0,2.73,0.43,0,15.73,0,0,0.59,60.65,0,9.89,3.96,0,0,9.96,0,0,1.31,0,3.76,0,0,13.29,0,0
120,1.12,0,0,0,6.98,8.13,0,77.09,0,5.32,0,63.58,1.85,0,0,4.54,0,0,1.48,0,0,33.87,3.01,0,0,98.87,0,1.26,0,0,0,4,1.53,0,2.26,0,0,0,0,0,2.27,3.85
