stage,blastomeres,epidermis,erythrocytes,eye,glial,immune,ionocyte,iridophores,mesenchyme,neural,olfactory,presomitic.mesoderm,pronephros,spinal.cord
  5-6,12.72,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,12.37,0,0,0,0
 14-21,0,0,0,0,1.91,0,0,0,0,1.15,0,0.9,0,1.67
 24-34,0,0,0,0,0,0,0,0,0.59,5.48,1.18,0,0,2.23
 36-46,0,0,0,0,0,0,0,0,0.66,2.81,0,0,0,2.19
 48-58,0,0,0,6.71,0,0,0,0,0,4.24,0,0,0,1.1
 60-70,0,0,0,0,0,0,0,0,0,2.81,0,0,0,0
 72-82,0,0,0.51,0,0,0,0,0.59,0,1.52,0,0,0,4.3
 84-94,0,0,0,0,0,0.8,0,0,0,0,0,0,0,8.64
 96-106,0,0,0,3.84,0,0,0.95,0,0,8.25,0,0,0,0
108-118,0,0,0,0,0,0,0,1.27,0,1.94,0,0,0,0
120,0,2.52,3.02,0,0,0,0,0,0,0,0,0,4.05,0
