stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,129.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,13.45,336.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,5.38,0,3.38,0,0,32.04,0,0,0,0,9.26,0,0,0,0,0,0,0,0,0,0,239.22,12.09,0,0,103.6,0,6.94,0,0,0,0,0,0,0,0,0
 10-12,0,18.15,0,22.75,0,0,22.04,0,0,0,0,5.49,0,0,0,0,0,0,0,0,0,0,255.95,5.34,0,0,75.55,0,0,0,25.86,0,0,0,0,0,0,0
 14-21,0,0,0,0.92,11.45,1.66,7.83,0,0,10.51,0,0.86,0,0,2.99,0,0,6.17,0,8.21,0,3.79,87.65,0.87,1.44,0.93,0.96,1.15,0,11.71,0.88,10.13,42.25,0,0,0,0,0
 24-34,0,0,0,0,1.65,0,13.97,0,0.68,8.52,0,0,1.24,0.6,0,0.92,0,0,0,6.33,0,4.05,95.31,0.7,7.73,0,0,1.38,0,0,0,0,30.65,0,0,4.93,0,0
 36-46,0,0,0,0,0.69,0,53.68,0,0,6.74,0,0,0,0,0,0,0,0,0.7,18.66,0,2.5,91.2,0,6.22,0.8,0,0,0,0,12.21,0,18.75,0,0,3.31,0,0
 48-58,0,0,0,0,0,0,158.72,0,0,6.81,0,0,0,0.52,0,0,0,0,0,18.21,1,2.28,121.89,0,4.13,0.74,0,4.71,0,0,0.4,0,23.74,0,0,0,0,4.51
 60-70,2.52,0,0,0,12.69,1.18,323.8,0,0.62,1.41,0,0,0,1.12,0,1.14,0,0,0,10.08,5.29,0.73,110.76,0,2.38,3.91,0,0,0,0,0,0,21.88,0,0,0,0,0
 72-82,0,0,0.69,0,1.62,0,486.47,0,0,16.76,0,0,0,0,0,0,0.95,0,0,23.66,1.01,4.99,78.15,0,8.24,1.59,0,5.51,0,0,0,0,15.24,0,0.8,0.98,0.54,0
 84-94,0,0,0,0,1.85,3.21,449.47,9.46,1.26,16.32,0,0,0,1,0.76,0.93,0.81,0,0,15.03,0,1.7,52.61,0,3.93,0,0,0,0,0,0,0,4.48,0,0,2.49,0,0
 96-106,0,0,0,0,6.35,0,415.31,0,0,7.58,2.04,0,0,2.13,0,2.97,0.58,1.06,0,9.68,0,0.94,54.18,0,2.39,1.35,0,2.53,0,0,0.67,0,0.68,0,1.58,1.81,0.59,3.5
108-118,0,0,0,0,0.62,1.49,350.77,0,0,8.51,0,0,0,0.47,0.64,2.24,1.33,2.34,0,12.23,0,3.36,66.34,0,3.19,12.35,0,1.08,0,0,0.64,0,0.52,2.12,0.99,0,0,3.48
120,0,0,0,0,1.87,1.28,466.73,0,0,4.63,0,0,0,0,0,0,1.88,0,0,13.32,0,0,38.72,0,3.29,4.51,0,2.71,0,0,1.62,0,3.82,0,0,3.4,0,0
