stage,blastomeres,endoderm,epidermis,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,immune,ionocyte,lateral_line,liver,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature
  3-4,32.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.73,12.5,0,0,16.74,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,4.88,0,0,0,0,0,0.9,0,0.87,4.52,0,1.51,0,0,0.98,2.13,0,1.91,64.16,0,0
 24-34,0,0,5.91,0,0,0,0,16.1,0,0,0,1.14,0,0.82,0,0,9.83,1.85,34.7,20.46,0,0,9.33,0,0,58.37,0,7.84
 36-46,0,0,0,0,0.76,8.76,0,4.39,0,0,0,0,0,1.52,0,0,40.25,0,53.35,0,0,0,10.62,0,0,40.43,0,0
 48-58,0,0,0,0,1.12,0,0,9.73,0,0,0,4.45,0,0.59,0,0,12.78,2.93,47.23,10.32,0,0,8.19,0,0,49.34,0,0
 60-70,0,0,0.57,0,6.39,0,8.4,23.74,0,0,0,12.96,0,0,0,0,50.82,0,56.27,18.59,0,0,38.57,1.67,0,34.28,0,0
 72-82,0,0,0,0,14.64,0,0,15.11,0,0,0,41.45,0,2.94,0,0,11.1,0,63.87,18.47,0,4.54,2.87,0,0,30.72,0.52,0.62
 84-94,0,0,0,0,7.96,0.66,0,27.52,0.92,0,0,33.12,0,1.46,0.98,0,6.87,0,77.87,31.29,0,0,3.03,0,0,35.91,0,0
 96-106,0,0,4.54,0,9.43,0.83,0,27.88,0,0,4.79,63.72,9.89,0,2.11,0,42.52,0,151.45,18.83,0,3.58,2.97,0,0,15.31,0,0
108-118,0,0,2.35,0.9,9.01,0,0,18.5,0,0.42,0,41.09,0,7.23,0,0,21.35,1.5,90.33,20.86,0,1.82,3.08,0,0,14.5,0,0.93
120,0,3.17,0,0,0,0,0,5.11,1.2,0,8.73,52.3,0,2.88,0,1.27,8.55,0,85.31,15.96,0,6.78,1.87,0,0,20.83,0,0
